"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1325,"NCT02040987","AZD3293 Thorough QT Study in Healthy Male Volunteers","AZD3293TQT","Completed","No Results Available","Alzheimer's Disease","Drug: AZD3293|Drug: Placebo|Drug: Moxifloxacin","The effect of a single dose of AZD3293 low dose and high dose on the change in time-matched QTcF intervals compared with placebo.|The effect of a single oral dose of moxifloxacin on the changes in time-matched QTcF intervals compared with placebo.|The safety and tolerability of AZD3293 in healthy male subjects by assessing a panel of adverse events measures|Plasma concentrations, AUC, Cmax and tmax of single dose AZD3293 and moxifloxacin in healthy male subjects|The effect of AZD3293 on additional electrocardiogram (ECG) variables (heart rate, RR, PR, QRS, QT and QTcB)","AstraZeneca|Parexel","Male","18 Years to 55 Years   (Adult)","Phase 1","52","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science","D5010C00008","January 2014","May 2014","May 2014","January 20, 2014",,"July 3, 2014","Research Site, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT02040987"
1326,"NCT02423122","A PET Study of the Effects of p38 MAP Kinase Inhibitor, VX-745, on Amyloid Plaque Load in Alzheimer's Disease (AD)",,"Completed","Has Results","Alzheimer's Disease|Mild Cognitive Impairment","Drug: VX-745","Percent Change From Baseline in Amyloid Plaque Burden by 11C-PiB PET|Number of 11C-PiB Responders|Wechsler Memory Scale (WMS) Immediate Recall Composite|Wechsler Memory Scale (WMS) Delayed Recall Composite","EIP Pharma Inc","All","60 Years to 85 Years   (Adult, Older Adult)","Phase 2","16","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","EIP-VX00-745-302","April 2015","July 2016","September 2016","April 22, 2015","June 14, 2019","June 14, 2019","Alzheimer Research Center, VU Medical Center, Amsterdam, Netherlands",,"https://ClinicalTrials.gov/show/NCT02423122"
1327,"NCT02029547","Evaluation of Electronic Florbetapir (18F) Interpretation Training in Japanese Physicians",,"Withdrawn","No Results Available","Alzheimer's Disease","Drug: Florbetapir (18F)","Inter Rater Reliability|Percent Agreement with Expert Panel|Change in inter reader reliability after application of quantitation software|Change in agreement with expert panel","Avid Radiopharmaceuticals","All","Child, Adult, Older Adult","Not Applicable","0","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Diagnostic","18F-AV-45-JPT01","October 2014","May 2015","May 2015","January 8, 2014",,"October 23, 2014","Research Site, Tokyo, Japan",,"https://ClinicalTrials.gov/show/NCT02029547"
1328,"NCT01992380","A Study of 18F-AV-1451 in Healthy Volunteers and Cognitively Impaired Subjects",,"Completed","No Results Available","Alzheimer's Disease","Drug: 18F-AV-1451","Test-Retest Reproducibility","Avid Radiopharmaceuticals","All","50 Years and older   (Adult, Older Adult)","Phase 1","24","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Diagnostic","18F-AV-1451-A03","November 2013","May 2014","May 2014","November 25, 2013",,"June 9, 2014","Research Site, Newport Beach, California, United States|Research Site, New Haven, Connecticut, United States",,"https://ClinicalTrials.gov/show/NCT01992380"
1329,"NCT02380573","Effects of Methylene Blue in Healthy Aging, Mild Cognitive Impairment and Alzheimer's Disease","MB2","Suspended","No Results Available","Mild Cognitive Impairment|MCI|Aging|Alzheimer's Disease|AD","Drug: Methylene Blue|Drug: FD&C Blue # 2|Drug: Phenazopyridine hydrochloride","Working memory task|Working memory task response|Episodic memory task|Episodic memory task response|Sustained attention task|Sustained attention task reaction time|Neuropsychological battery composite score|Cerebral blood flow measures","The University of Texas Health Science Center at San Antonio|Texas Alzheimer’s Research and Care Consortium (TARCC)","All","45 Years to 89 Years   (Adult, Older Adult)","Phase 2","117","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","HSC20150410H","July 2015","July 2022","July 2023","March 5, 2015",,"May 8, 2019","Research Imaging Institute, The University of Texas Health Science Center at San Antonio, San Antonio, Texas, United States",,"https://ClinicalTrials.gov/show/NCT02380573"
1330,"NCT03075241","Z-Drugs for Sleep Disorders in Alzheimer's Disease",,"Recruiting","No Results Available","Sleep|Sleep Disorders|Insomnia|Alzheimer's Disease","Drug: Zolpidem|Drug: Zoplicone|Drug: Placebo","Nighttime Total Sleep Time|Daytime Total Sleep Time|Ratio of daytime to nighttime sleep|Nighttime Wake after Sleep Onset|Proportion of sleep time at nighttime|Proportion of patients with gain of at least 30 minutes in Total Sleep Time|Differences between sleep efficiency between the two treatments.|Nighttime Number of Awakenings","Brasilia University Hospital","All","55 Years and older   (Adult, Older Adult)","Phase 3","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","ZOLP-001","October 2016","January 2020","December 2020","March 9, 2017",,"July 9, 2019","Geriatric Medical Centre, Brasilia, Distrito Federal, Brazil",,"https://ClinicalTrials.gov/show/NCT03075241"
1331,"NCT01609335","Normative Values for Cognitive Testing and Alzheimer's Imaging Biomarkers in Young Adults",,"Completed","No Results Available","Alzheimer's Disease","Drug: F-18 FDG|Drug: C-11 PiB","Normal values for amyloid PET, FDG and Magnetic Resonance Imaging","Mayo Clinic","All","30 Years to 49 Years   (Adult)","Phase 1","41","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","11-006972","July 2012","August 2013","August 2013","May 31, 2012",,"August 8, 2014","Mayo Clinic Rochester, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT01609335"
1332,"NCT02530255","Telomerase Activator and Retinal Amyloid",,"Completed","No Results Available","Alzheimer Disease","Dietary Supplement: cycloastragenol|Dietary Supplement: placebo (for cycloastragenol)","Retinal Amyloid Index (RAI)|Telomere length (kilobases)","Chippewa Valley Eye Clinic|TA-Sciences","All","50 Years to 70 Years   (Adult, Older Adult)","Not Applicable","48","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","TAS-003-AD","December 1, 2016","October 31, 2018","December 31, 2018","August 21, 2015",,"July 3, 2019","Chippewa Valley Eye Clinic, Eau Claire, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT02530255"
1333,"NCT01723488","A Phase 0, Open Label, Multi-Center, Exploratory and Safety Study of [F-18]T808","T808","Terminated","No Results Available","Alzheimers Disease","Radiation: [F18] T808","To monitor and assess the safety of IV administration of [F-18]T808|To begin collection of baseline [F-18]T808 PET/CT imaging data","Avid Radiopharmaceuticals","All","55 Years and older   (Adult, Older Adult)","Early Phase 1","12","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)","T808000","July 2012","March 2013","March 2013","November 8, 2012",,"July 19, 2013","Research Site, Irvine, California, United States|Research Site, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT01723488"
1334,"NCT02303158","Relationship Between Protein Biomarkers in Cerebrospinal Fluid and Alzheimer&Apos;s Disease in Patients With Depression","LIDEAL","Terminated","No Results Available","Alzheimer's Disease",,"Analysis of cerebrospinal fluid|Conversion to dementia|Depression subtypes","Institut Investigacio Sanitaria Pere Virgili","All","18 Years to 60 Years   (Adult)",,"50","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","IISPV-LIDEAL-HTVC","January 2014","February 2016","October 2018","November 27, 2014",,"October 9, 2018","Hospital de Tortosa, Verge de la Cinta, Tortosa, Tarragona, Spain",,"https://ClinicalTrials.gov/show/NCT02303158"
1335,"NCT03724942","Brexpiprazole for the Long-term Treatment of Patients With Agitation Associated With Dementia of the Alzheimer's Type",,"Recruiting","No Results Available","Agitation Associated With Dementia of the Alzheimer's Type","Drug: Brexpiprazole","The frequency of Adverse events|Mean change from baseline in Cohen-Mansfield Agitation Inventory (CMAI) score at 14 weeks after dosing|Mean change from baseline in Clinical Global Impression of Severity (CGI-S) score at 14 weeks after dosing|Mean change from baseline in Clinical Global Impression of Improvement (CGI-I) score at 14 weeks after dosing","Otsuka Pharmaceutical Co., Ltd.","All","55 Years to 89 Years   (Adult, Older Adult)","Phase 3","157","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","331-102-00184","November 9, 2018","May 2021","May 2021","October 30, 2018",,"December 27, 2018","Jisenkai Nanko Psychiatric Institute, Shirakawa, Japan",,"https://ClinicalTrials.gov/show/NCT03724942"
1336,"NCT01564706","A Study of 18F-AV-45 in Healthy Volunteers",,"Completed","Has Results","Alzheimer Disease","Drug: florbetapir F 18","Whole Body Radiation Dosimetry","Avid Radiopharmaceuticals","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 1","9","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","18F-AV-45-A02","October 2007","January 2008","January 2008","March 28, 2012","April 30, 2012","May 18, 2012","Research Site, Jenkintown, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT01564706"
1337,"NCT01716897","An Study to Determine the Bioavailability of E2609 Tablets Compared to Capsules and the Effect of Food on Absorption",,"Completed","No Results Available","Alzheimer's Disease","Drug: E2609","AUC(0-inf) ratio, new tablet vs. capsule|AUC(0-inf) ratio, fed state vs. fasted state, both after administration of new tablet|Cmax ratio, new tablet vs. capsule|Cmax ratio, fed state vs. fasted state, both after administration of new tablet|incidence of Adverse events","Eisai Inc.","Male","30 Years to 55 Years   (Adult)","Phase 1","18","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","E2609-A001-007","October 2012","December 2012","February 2013","October 30, 2012",,"May 22, 2013","California Clinical Trials/Parexel, Glendale, California, United States",,"https://ClinicalTrials.gov/show/NCT01716897"
1338,"NCT01702480","Effects of Triglycerides on Age-Related Cognitive Function Decline in Older Subjects",,"Completed","No Results Available","Alzheimer's Disease","Drug: GSK2981710|Drug: Placebo","Part 1: Plasma BHB elevation time course of GSK2981710|Part 1: Area under the time concentration curve (AUC) of GSK2981710|Part 1: Maximum concentration (Cmax) of GSK2981710|Part 2: Change from Baseline in performance on CANTAB Paired Associates Learning task|Part 2: Change from Baseline in performance on CANTAB Verbal Recognition Memory task|Part 2: Change from Baseline in performance on CANTAB Spatial Working Memory (SWM) task|Part 2: Change from Baseline in performance on CANTAB Rapid Visual Processing task|Part 2: Change from Baseline in performance on CANTAB Reaction Time task|Part 2: Change from Baseline in performance on Source Memory Task|Part 1 and 2: Safety and tolerability of GSK2981710 as assessed by number of subjects with adverse events (AE)s|Part 1 and 2: Safety and tolerability of GSK2981710 as assessed by change from Baseline in ECG readings|Part 1 and 2: Safety and tolerability of GSK2981710 as assessed by change from Baseline in laboratory values|Part 1 and 2: Safety and tolerability of GSK2981710 as assessed by change from Baseline in vital signs|Part 1 and 2: Safety and tolerability of GSK2981710 as assessed by Gastrointestinal (GI) Symptom and stool diary|Part 1 and 2: Safety and tolerability of GSK2981710 as assessed by Liking Assessment|Part 2: Change from Baseline in P300 EEG measurement|Part 2: Resting EEG measurement|Part 2: EEG measurement during Source Memory Task|Part 2: Correlation between systemic exposure of BHB and selected PD measurements","GlaxoSmithKline","All","55 Years to 80 Years   (Adult, Older Adult)","Phase 1","116","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","116713","November 5, 2012","July 3, 2015","July 3, 2015","October 8, 2012",,"May 9, 2017","GSK Investigational Site, Cambridge, Cambridgeshire, United Kingdom",,"https://ClinicalTrials.gov/show/NCT01702480"
1339,"NCT03657745","Alzheimer's Disease Treatment With Combination of 40Hz Light and Cognitive Therapy","AlzLife","Recruiting","No Results Available","Alzheimer Disease|Mild Cognitive Impairment|Dementia|Cognition Disorders in Old Age|Cognitive Decline|Cognitive Deterioration","Device: Combination of 40Hz light and cognitive therapy (ALZLIFE)","In-app cognitive test|Alzheimer's Disease Cooperative Study-activities of daily living (ADCS-ADL)","Alzheimer's Light LLC","All","50 Years and older   (Adult, Older Adult)",,"2000","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","AlzLife001","January 1, 2018","December 31, 2023","December 31, 2023","September 5, 2018",,"September 5, 2018","Andrey Vyshedskiy, Miami, Florida, United States",,"https://ClinicalTrials.gov/show/NCT03657745"
1340,"NCT01660815","A Study of Florbetapir (18F) in Japanese Healthy Volunteers",,"Completed","Has Results","Alzheimer's Disease","Drug: florbetapir (18F)","Whole Body Radiation Dosimetry","Avid Radiopharmaceuticals|Eli Lilly and Company","All","45 Years and older   (Adult, Older Adult)","Phase 1","7","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","18F-AV-45-J02|I6E-AV-AVBA","August 2012","January 2013","January 2013","August 9, 2012","September 19, 2013","September 19, 2013","Research Site, Kobe, Japan",,"https://ClinicalTrials.gov/show/NCT01660815"
1341,"NCT01230853","A Randomized, Double-blind, Placebo-controlled, Combined Single Ascending Dose and Multiple Ascending Dose Study",,"Completed","No Results Available","Alzheimer's Disease","Drug: Active Comparator: A|Drug: Placebo Comparator B|Drug: Active Comparator B|Drug: Placebo Comparator A","Single Ascending Dose (SAD)|Multiple Ascending Dose(MAD)","Eisai Inc.","All","50 Years and older   (Adult, Older Adult)","Phase 1","80","Industry","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","BAN2401-A001-101","August 2010","October 2012","February 2013","October 29, 2010",,"May 22, 2013","Garden Grove, California, United States|San Francisco, California, United States|Orlando, Florida, United States|Atlanta, Georgia, United States|Indianapolis, Indiana, United States|Eatontown, New Jersey, United States|Princeton, New Jersey, United States|Salt Lake City, UT, Utah, United States",,"https://ClinicalTrials.gov/show/NCT01230853"
1342,"NCT01329484","Computerized Personal Interventions for Alzheimer's Patients",,"Unknown status","No Results Available","Alzheimer's Disease","Behavioral: Reminiscence therapy|Behavioral: Cognitive training|Other: No treatment","Cognitive function measured by Mindstreams (NeuroTrax Corp., NJ) computerized neuropsychological assessment instrument.","Shaare Zedek Medical Center","All","60 Years and older   (Adult, Older Adult)","Not Applicable","159","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CPI-AD-TD-CTIL","March 2011","September 2012","September 2012","April 6, 2011",,"April 6, 2011","Mental Health Center, Beer Sheva, Israel|Memory Clinic, Shaare Zedek Medical Center, Jerusalem, Israel",,"https://ClinicalTrials.gov/show/NCT01329484"
1343,"NCT01607476","Bridging Study of C11 Pittsburgh Compound B (PiB) and F18 Flutemetamol Brain Positron Emission Tomography (PET)",,"Completed","Has Results","Alzheimer's Disease","Drug: C11 PiB|Drug: F18 Flutametamol","Global Distribution of C11 PiB in the Brain|Global Distribution of F18 Flutemetamol in the Brain","Mayo Clinic","All","30 Years and older   (Adult, Older Adult)","Phase 2","89","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","12-000118","July 2012","December 2014","March 2016","May 30, 2012","November 1, 2016","April 18, 2017","Mayo Clinic Rochester, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT01607476"
1344,"NCT03620981","Brexpiprazole for the Treatment of Patients With Agitation Associated With Dementia of the Alzheimer's Type",,"Recruiting","No Results Available","Agitation Associated With Dementia of the Alzheimer's Type","Drug: Brexpiprazole|Drug: Placebo","Mean change from baseline in Cohen-Manfield Agitation Incentory(CMAI) score at 10 weeks|Mean change from baseline in CMAI score at 10 weeks|Mean change from baseline in Clinical Global Impression of Severity (CGI-S) score at 10 weeks","Otsuka Pharmaceutical Co., Ltd.","All","55 Years to 89 Years   (Adult, Older Adult)","Phase 2|Phase 3","407","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","331-102-00088","August 20, 2018","November 2021","November 2021","August 8, 2018",,"July 11, 2019","Jisenkai Nanko Psychiatric Institute, Shirakawa, Japan",,"https://ClinicalTrials.gov/show/NCT03620981"
1345,"NCT01568086","Follow-up Study to Evaluate Long-term Safety and Tolerability of Immunization With AD03 Applied During AFF005A",,"Terminated","No Results Available","Alzheimer's Disease",,"Safety/Tolerability|Clinical Efficacy|Immunological","Affiris AG","All","50 Years to 80 Years   (Adult, Older Adult)",,"16","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","AFF005B","December 2011","June 2013","October 2013","April 2, 2012",,"November 6, 2013","Studienzentrum der PROSENEX, AmbulatoriumbetriebsgesmbH an derConfraternität-Privatklinik Josefstadt, Vienna, Austria|Medical University of Vienna, Department for Psychiatry and Psychotherapy, Wien, Austria",,"https://ClinicalTrials.gov/show/NCT01568086"
1346,"NCT01565369","Evaluation of Physician Training Methods to Read Florbetapir-PET Scans",,"Completed","Has Results","Alzheimer's Disease","Drug: florbetapir F 18","Sensitivity of Florbetapir PET Scans to Detect Moderate to Frequent Amyloid Plaque|Specificity of Florbetapir PET Scans to Detect Moderate to Frequent Amyloid Plaque|Inter-reader Agreement","Avid Radiopharmaceuticals","All","18 Years and older   (Adult, Older Adult)","Not Applicable","35","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Diagnostic","18F-AV-45-A08","January 2011","January 2011","January 2011","March 28, 2012","June 7, 2012","June 7, 2012",,,"https://ClinicalTrials.gov/show/NCT01565369"
1347,"NCT00857506","Observational Study of Cognitive Outcomes for Subjects Who Have Had Prior PET Amyloid Imaging With Florbetapir F 18 (18F-AV-45)",,"Completed","Has Results","Alzheimer's Disease|Mild Cognitive Impairment","Drug: florbetapir F 18","Change in ADAS-Cog for MCI Subjects|Cognitive Decline in MCI Subjects|Change in ADAS-Cog in CN and AD Subjects|Cognitive Decline in CN and AD Subjects|Covariate Adjusted Psychometric Score Change|Correlation of Change in ADAS-Cog and SUVR","Avid Radiopharmaceuticals","All","50 Years and older   (Adult, Older Adult)","Phase 2","152","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Diagnostic","18F-AV-45-A11","January 2009","December 2011","December 2011","March 6, 2009","March 28, 2013","March 28, 2013","Research Site, Scottsdale, Arizona, United States|Research Site, Tucson, Arizona, United States|Research Site, Costa Mesa, California, United States|Research Site, Brooksville, Florida, United States|Research Site, Hallandale Beach, Florida, United States|Research Site, West Palm Beach, Florida, United States|Research Site, Albany, New York, United States|Research Site, Durham, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT00857506"
1348,"NCT01268020","Evaluation of [18F] FMH3 and PET as a Marker of Histamine-3 Receptor Activity in Subjects With AD Compared w/ HC","FMH3","Completed","No Results Available","Alzheimer Disease","Drug: [18F]-FMH3","To assess the dynamic uptake and washout of 18F-FMH3","Institute for Neurodegenerative Disorders","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","5","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","FMH3-01","December 2010","October 2012","October 2012","December 29, 2010",,"November 11, 2013","Institute for Neurodegenerative Disorders, New Haven, Connecticut, United States",,"https://ClinicalTrials.gov/show/NCT01268020"
1349,"NCT02832921","Cognitive-motor Intervention Using Virtual Reality for Middle-aged Individuals at High Dementia Risk",,"Recruiting","No Results Available","Alzheimer's Disease (AD)","Behavioral: cognitive training by virtual reality|Behavioral: watching a scientific TV documentary|Device: treadmill","change in overall cognition- measured by averaging z-scores from 14 paper and pencil neuropsychological tests covering episodic memory and executive functions cognitive domains.|change in cerebral blood flow from arterial spin labeling (ASL)|specific cognitive domains- average of z-scores of paper and pencil memory tests and of executive functions tests|blood oxygenation level dependent (BOLD) functional MRI (fMRI) signal in the fronto-parietal network associated with working memory|brain resting state functional connectivity by resting state network fMRI BOLD signal correlations|hippocampal volume|frontal inferior cortex volume|white matter hyperintensity (WMH) burden|diffusion-tensor imaging (DTI) measures","Sheba Medical Center","All","40 Years to 65 Years   (Adult, Older Adult)","Not Applicable","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Prevention","SHEBA-16-2988-MSB-CTIL","July 2016","July 2019","August 2019","July 14, 2016",,"January 26, 2018","Sheba Medical Center, Ramat Gan, Israel",,"https://ClinicalTrials.gov/show/NCT02832921"
1350,"NCT01297036","Pharmacokinetic Comparisons of Two Donepezil Formulations",,"Completed","No Results Available","Alzheimer Disease","Drug: Donepezil, ODT 10 mg|Drug: Donepezil, 10 mg tablet","donepezil pharmacokinetics: peak plasma concentrations (Cmax)|donepezil pharmacokinetics: Area under the time vs. plasma concentration curve from 0 to 240 hr(AUCall)|donepezil pharmacokinetics: Area under the time vs. plasma concentration curve from 0 to infinity(AUCinf)","Korea University Anam Hospital|Chong Kun Dang Pharmaceutical Corp.","Male","20 Years to 45 Years   (Adult)","Phase 1","22","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)","121HPS07D_03","January 2008","March 2008","May 2008","February 16, 2011",,"February 16, 2011","Dept. of Clinical Pharmacology & Toxicology, Anam Hospital, Korea University College of Medicine, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT01297036"
1351,"NCT01454115","Study to Evaluate the Safety, Pharmacokinetics and Tolerability of BMS-708163",,"Completed","No Results Available","Alzheimer's Disease","Drug: BMS-708163 (Gamma-Secretase Inhibitor)|Drug: Placebo matching BMS-708163","Safety and tolerability of Single doses of BMS-708163 in the range of 0.3 to 800 mg in the healthy subjects|Effects of BMS-708163 on cortisol and QT interval corrected for heart rate|Effect of BMS-708163 on thyroid stimulating hormone (TSH), free triiodothyronine (T3), free thyroxine (T4), and lymphocyte subsets|Bioavailability of BMS-708163 from a capsule formulation relative to a solution formulation|Effect of food on the PK of BMS-708163 administered as a capsule formulation|Maximum observed plasma concentration (Cmax) of BMS-708163|Time of maximum observed plasma concentration (Tmax) of BMS-708163|Area under the plasma concentration-time curve from zero to the time of the last quantifiable concentration [AUC(0-T)] of BMS-708163|Area under the plasma concentration-time curve from time zero extrapolated to infinite time [AUC(INF)] of BMS-708163|Plasma half-life (T-HALF) of BMS-708163","Bristol-Myers Squibb","All","18 Years and older   (Adult, Older Adult)","Phase 1","116","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science","CN156-001","June 2007","March 2009","March 2009","October 18, 2011",,"November 21, 2011",,,"https://ClinicalTrials.gov/show/NCT01454115"
1352,"NCT01447719","Autopsy Follow-up of Subjects Previously Imaged With Florbetapir F 18 (18F-AV-45) PET in Trial 18F-AV-45-A07",,"Completed","Has Results","Alzheimer's Disease","Drug: florbetapir F 18","Sensitivity Analysis in All Autopsy Population|Specificity Analysis in All Autopsy Population|Correlation of Florbetapir-PET Image and Amyloid Plaque Density|Sensitivity Analysis in Subjects With Autopsy Within 1 Year of Scan|Specificity Analysis in Subjects With Autopsy Within 1 Year of Scan","Avid Radiopharmaceuticals","All","18 Years and older   (Adult, Older Adult)","Phase 3","110","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","18F-AV-45-A16","March 2010","March 2011","July 2011","October 6, 2011","May 7, 2012","May 22, 2012","Research Site, Phoeniz, Arizona, United States|Research Site, Sun City, Arizona, United States|Research Site, Little Rock, Arkansas, United States|Research Site, Irvine, California, United States|Research Site, Fort Myers, Florida, United States|Research Site, Miami Beach, Florida, United States|Research Site, Miami Springs, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Orlando, Florida, United States|Research Site, Sarasota, Florida, United States|Research Site, St. Petersburg, Florida, United States|Research Site, West Palm Beach, Florida, United States|Research Site, Baltimore, Maryland, United States|Research Site, Hattiesburg, Mississippi, United States|Research Site, St. Louis, Missouri, United States|Research Site, Albany, New York, United States|Research Site, New Hyde Park, New York, United States|Research Site, Durham, North Carolina, United States|Research Site, Centerville, Ohio, United States|Research Site, Oklahoma City, Oklahoma, United States|Research Site, Charleston, South Carolina, United States|Research Site, Johnson City, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT01447719"
1353,"NCT01577394","Oculomotor Testing in the Differential Diagnosis of Dementia","OculoMacl","Completed","No Results Available","Lewy Body Disease|Alzheimer's Disease","Other: oculomotor measurements","Variability of reflexive saccades latencies|Correlations between oculomotor records and neuropsychological examination assessing attention abilities and their fluctuations|Potential correlations between hippocampal volume and neuropsychological examination in DLB cases|Cerebral atrophy differences between DLB and AD using SVM (Support Vector Machine) method|Percentage of alpha synuclein in CSF to discriminate DLB from AD|Variations at one year in oculomotor test scores and neuropsychological test scores|Mean reflexive saccades latency|Percentage of express saccades|Correlations between neuropsychological tests scores assessing attention abilities and variability of reflexive saccades latencies","Assistance Publique - Hôpitaux de Paris","All","65 Years and older   (Older Adult)","Phase 3","65","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","AOM 09158","June 2011","February 2016","April 2016","April 13, 2012",,"May 23, 2016","Assistance Publique Hôpitaux de Paris - Pitié-Salpetriere hospital, Paris, France",,"https://ClinicalTrials.gov/show/NCT01577394"
1354,"NCT02013518","Cognitive Behavioural Therapy for Persons With MCI or Mild Dementia",,"Unknown status","No Results Available","Alzheimers' Disease","Behavioral: Cognitive Behavioural Therapy","Number of participants reporting decrease in depression scores|Number of participants reporting increased Self-efficacy|Number of participants reporting increased Quality of Life|Number of participants reporting change in cognitive function|Number of participating caregivers reporting decreased burden of care","Oslo University Hospital|Sykehuset i Vestfold HF|Sykehuset Innlandet HF","All","Child, Adult, Older Adult","Not Applicable","200","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","2012/1943|12345","September 2013","December 2015","December 2016","December 17, 2013",,"December 17, 2013","Oslo University Hospital, Oslo, Norway",,"https://ClinicalTrials.gov/show/NCT02013518"
1355,"NCT01325662","A Study to Evaluate the Use of an Indwelling Catheter to Obtain Cerebrospinal Fluid (CSF) by Low-rate Continuous Sampling (MK-0000-211)",,"Completed","No Results Available","Alzheimer's Disease",,"Increase in CSF Aβ40 levels as measured by the new low flow continuous drip sampling method|Increase in CSF Aβ40 levels as measured by the current intermittent drip sampling method","Merck Sharp & Dohme Corp.","All","18 Years to 40 Years   (Adult)",,"11","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","0000-211","March 2011","September 2011","September 2011","March 30, 2011",,"July 23, 2015",,,"https://ClinicalTrials.gov/show/NCT01325662"
