cause_of_death,carto_db_cause_of_death,year,dead_and_missing,description
unknown,unknown - supposedly exhaustion related death,2006,1,"found by Guardia Civil near the port of Spanish north African enclave Melilla (E/MA) (Mar 15, 2006)"
drowned,drowning or exhaustion related death,2006,26,"drowned on way to Spain, bodies retrieved in the waters of Mauritania by Spanish ship (Mar 14, 2006). From Del Grande's data set (translated): The humanitarian ship Esperanza del Mar recovered 25 bodies and 120 km from Nouadhibou, another 50 people could be missing (Mar 18, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,12,"Rescued boat drifting live in the Canary Islands. On board 12 deaths (Mar 13, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,1,"shot by Moroccan border guard trying to cross the border fence in Melilla (E/MA) (Mar 11, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,1,"stowaway, fell in a field in Vivantes (F) from the wheelbay of a plane from North Africa  (Mar 8, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,1,"found near Los Ancones (E), body thrown overboard by boat landed in Lanzarote (E) (Mar 8, 2006)"
suicide - hanged,suicide,2006,1,"suicide, hanged under bridge, asylum claim refused (GB); known also as Paul Kiese (Mar 8, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,1,"Rescued 350 km south of Dakhla vessel in distress directly to the Canary Islands, a dead man on board (Mar 8, 2006)"
drowned,drowning or exhaustion related death,2006,30,"drowned, 26 found, 4 missing, shipwreck near El-Ayun (MA), way of Canary Isl. (E) (Mar 6, 2006)"
shot by the police,authorities related death,2006,3,"died climbing border fence in Melilla (E/MA), reportedly one shot by border guards (Mar 6, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,3,"3 found dead in a truck ferried to Bari from Durres (Albania), in which were hidden (Mar 7, 2006)"
drowned,drowning or exhaustion related death,2006,45,"45 people drowned in two shipwrecks off the coast of Mauritania, were directed to the Canaries (Mar 6, 2006)"
drowned,drowning or exhaustion related death,2006,4,"drowned, bodies found off the coast of Ragusa (I) (Mar 5, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,10,"Boat sinks off Ahrax Point, 1 dead and 9 missing. Escaped from the detention center in Hal Far and Safi were to Sicily (Mar 5, 2006)"
drowned,drowning or exhaustion related death,2006,1,"Young falls into the water and drowned a hundred meters from the beach of Tenerife in the Canary Islands (Mar 4, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,28,"Shipwreck off the coast of Cabo de Gata, Almeria. At least 28 missing (Feb 27, 2006)"
asphyxiated,drowning or exhaustion related death,2006,4,"stowaways, died of asphyxia, found on a ship arrived in Canary Isl. from Ivory Coast (Feb 21, 2006). From Del Grande's data set (translated): Found 4 crew died of asphyxiation in the hold of the Panamanian freighter C-Akabey party from the Ivory Coast and directed in Libya. The bodies were left to the authorities to Porto in Las Palmas, Canary Islands (Feb 22, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,16,"found on a boat, died of hypothermia, starvation and epileptic crises on way to Spain (Feb 21, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,13,"Two shipwrecks in Mayotte, 7 recovered corpses, including those of 6 matches pregnant women to give birth on the French island, and 6 missing (Feb 21, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,1,"Sinking a boat 30 meters from the coast of Oinousses, near Chios, 1 dead (Feb 20, 2006)"
died from dehydration,drowning or exhaustion related death,2006,1,"baby of asylum family died of dehydration in Fairfield Hospital (GB), no medical aid  (Feb 19, 2006)"
drowned,drowning or exhaustion related death,2006,2,"Shipwreck near the island of Alboran, 2 drowned (Feb 19, 2006)"
drowned,drowning or exhaustion related death,2006,2,"drowned, pantera with 24 passengers capsized off Island of Alboran/Almeria (E) (Feb 18, 2006)"
drowned,drowning or exhaustion related death,2006,12,"drowned, after boat of 32 left from Jbel Boudinar (MA) and capsised off Almeria (E) (Feb 18, 2006)"
drowned,drowning or exhaustion related death,2006,1,"drowned, dinghy carrying 6 Afghans sank off Chios (GR) on way from Turkey (Feb 18, 2006)"
drowned,drowning or exhaustion related death,2006,9,"reportedly drowned, after shipwreck off the Libyan coast on way to Italy (Feb 17, 2006). From Del Grande's data set (translated): Shipwreck off the coast of Libya in a boat heading to Italy, 9 dead (Feb 18, 2006)"
hypothermia,drowning or exhaustion related death,2006,1,"frozen, died while crossing the Bulgarian-Greek border on mount Falakon (Feb 14, 2006)"
died of a shock,drowning or exhaustion related death,2006,1,"died of a shock after his cousin was beaten up by border guards in Patras port (GR) (Feb 12, 2006)"
drowned,drowning or exhaustion related death,2006,102,"drowned, shipwreck near Dakar sea due to stormy waters, they left from Senegal (Feb 11, 2006)"
hypothermia and dehydration,drowning or exhaustion related death,2006,1,"died of dehydration and hypothermia in hospital after boat landed in Tenerife (E) (Feb 11, 2006)"
starved,drowning or exhaustion related death,2006,8,"died of hunger and thirst, bodies thrown overboard during journey to reach Italy (Feb 8, 2006)"
car accident,"violent accidental death (transport, blown in minefield...)",2006,5,"died in car accident trying to escape police in Germany after being smuggled from Cz  (Feb 7, 2006)"
drowned,drowning or exhaustion related death,2006,15,"drowned after shipwreck in the Mediterranean sea (Feb 5, 2006)"
drowned,drowning or exhaustion related death,2006,2,"drowned, 1 found, 1 missing, shipwreck near Kusadasi (TR) on way to Samos Isl. (GR) (Feb 4, 2006)"
starved,drowning or exhaustion related death,2006,3,"starvation, 2 thrown overboard, 1 body found on a boat docked on Canary Isl. (E) (Dec 31, 2006). From Del Grande's data set (translated): Landing in the Canary Islands, a dead man on board for hypothermia; abandoned at sea the bodies of two other victims (Jan 1, 2007)"
unknown,unknown - supposedly exhaustion related death,2006,50,"died, smugglers forced them overboard to easily escape from Samos Coast Guard (GR) (Dec 31, 2006)"
suicide - hanged,suicide,2006,1,"suicide, found hanged at friend s home in Bedford (GB) after being denied a visa extension (Dec 31, 2006)"
drowned,drowning or exhaustion related death,2006,33,"drowned, shipwreck near Algeria trying to reach Sardinia (I) (Dec 30, 2006)"
drowned,drowning or exhaustion related death,2006,20,"drowned, 9 found, 11 missing, 2 boats sank 60 km Sud of Laayoune (MA) way to Spain (Dec 29, 2006). From Del Grande's data set (translated): Shipwreck in Tarfaya, on the route to the Canary Islands, the witnesses speak of 20 dead lost at sea, including 4 children and 4 women (Dec 26, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,9,"Recovered on the coast of Tarfaya 9 corpses (Dec 30, 2006)"
shot by the police,authorities related death,2006,1,"Hit by a bullet of Moroccan auxiliary forces while trying to climb over the double fence of the Spanish border in Melilla, a young man is killed (Dec 24, 2006)"
police violence,authorities related death,2006,1,"stabbed by MA police in Rabat, deportation operation to prevent migration to Europe (Dec 22, 2006)"
died of kidney failure,drowning or exhaustion related death,2006,1,"He died of kidney failure a man deported in the city of Oujda on the border with Algeria (Dec 21, 2006)"
starved,drowning or exhaustion related death,2006,24,"died of starvation, bodies thrown overboard boat wrecked in Yoff(Mauritania) way to E (Dec 19, 2006)"
drowned,drowning or exhaustion related death,2006,126,"reportedly drowned, missing, boat capsized on way form Djiffer (Senegal) to Spain   (Dec 15, 2006). From Del Grande's data set (translated): Rescued a canoe off the coast of Saint Louis. Live in the Canary Islands, a storm had sent adrift for two weeks. 102 of the 127 passengers are missing, drowned in two reversals of the vessel, or died from hypothermia and dehydration (Dec 17, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,5,"died trying to reach Canary Islands (E), boat found near Anfrift (MA) (Dec 13, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,1,"Found decomposing torso, probably a woman, along the beaches of Marsascala (Dec 14, 2006)"
drowned,drowning or exhaustion related death,2006,1,"drowned, boat with 29 survivors wrecked near Dakar (Senegal) way to Canary Isl. (E) (Dec 12, 2006). From Del Grande's data set (translated): Rejected in Moroccan waters by vessels of Frontex, a Senegalese pirogue live in the Canary Islands was forced to reverse course on the Dakar. In the 9-day trip they die because of the cold and dehydration 50 people, thrown into the sea. During the rescue a man drowning in Yoff and 3 others died later in hospital (Dec 13, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,3,"died in hospital, boat wrecked near Dakar (Senegal) on way to Canary Islands (E) (Dec 12, 2006)"
drowned,drowning or exhaustion related death,2006,10,"reportedly drowned, 9 missing 1 found advanced state decomposition near Fouka (DZ) (Dec 9, 2006)"
drowned,drowning or exhaustion related death,2006,1,"body found in advanced state of decomposition near the coast of Foukat (DZ) (Dec 9, 2006)"
drowned,drowning or exhaustion related death,2006,1,"Tips vessel departed from Restinga Smir, Tetouan, and live in Ceuta, a man drowned (Dec 10, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,250,"missing, boat at the mercy of the waves sent SOS signal near Lampedusa (I) (Dec 8, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,2,"Two died on the ferry Zadar-Ancona, killed by the fumes of the load of the truck they were traveling hidden (Dec 9, 2006)"
starved,drowning or exhaustion related death,2006,28,"died of starvation in boat instructed to change route by Spanish coastguard (Dec 7, 2006)"
shot by the police,authorities related death,2006,1,"A dead man killed by gunfire during a Moroccan army assault on the grillage of the Spanish border in Melilla (Dec 8, 2006)"
starved,drowning or exhaustion related death,2006,5,"died of starvation: 4 thrown overboard boat on way from MA to E; 1 died in hospital MA (Dec 7, 2006)"
suicide - jumped from building,suicide,2006,1,"suicide, jumped from 5th floor of an induction centre for asylum seekers in Margate (GB) (Dec 7, 2006)"
hypothermia,drowning or exhaustion related death,2006,2,"Landing in the Canary Islands, two deaths from hypothermia (Dec 7, 2006)"
heat exhaustion,drowning or exhaustion related death,2006,1,"stowaway, died from heat exhaustion in back of a truck in a roadside in Essex (GB) (Dec 5, 2006)"
starved,drowning or exhaustion related death,2006,12,"found dead on a drifitng boat off Capeverdian islands on way to the Canary Island. (Dec 2, 2006). From Del Grande's data set (translated): Rescued a boat of migrants to 300 nautical miles from the Canary Islands. On board 1 dead. Another 18 people have died on the journey and their bodies thrown overboard by his companions (Nov 30, 2006)"
hypothermia,drowning or exhaustion related death,2006,1,"He died one of the four migrants admitted to the hospital for hypothermia Candelaria, Tenerife, after landing the day before the Canaries (Dec 3, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,3,"It sinks off the coast of the Gulf of Edremit vessel direct to the Greek island of Samos, 3 missing (Dec 2, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,1,"found on boat with 15 survivors rescued by ARC sailing ship, way from Africa to Spain (Nov 29, 2006). From Del Grande's data set (translated): Boat rescued off the Canary Islands, 1 died on board (Nov 30, 2006)"
drowned,drowning or exhaustion related death,2006,24,"missing after boat capsized near Laayoune (MA) on the way to Spain (Nov 25, 2006)"
drowned,drowning or exhaustion related death,2006,1,"drowned, young activist for human rights, boat sank near Laayoune (MA) on way to E (Nov 25, 2006)"
drowned,drowning or exhaustion related death,2006,20,"drowned, washed ashore after boat capsized near Laayoune (MA) on the way to Spain  (Nov 25, 2006). From Del Grande's data set (translated): Two shipwrecks along the coast of Laayoun, 14 dead and 17 missing (Nov 28, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,1,"died in Ceuta (E/MA) hospital, accepted for 2 weeks after boat on way from MA sank (Nov 20, 2006). From Del Grande's data set (translated): He died at the hospital in Ceuta young migrant hospitalized November 9, when it was thrown into the sea from the boat on which he was traveling, in unclear circumstances (Nov 21, 2006)"
drowned,drowning or exhaustion related death,2006,3,"drowned, 1 found, 2 missing, boat capsized off Izmir s (TR) coast on way to Greek  (Nov 18, 2006)"
drowned,drowning or exhaustion related death,2006,51,"drowned after boat capsized near Seferihisar (TR) trying to reach GR coast (Nov 11, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,15,"died of injures bodies thrown overboard, gas bottle explosion on ship from Dakar (SN)  (Nov 7, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,3,"died of injures after gas bottle explosion, found on a ship from Dakar (SN)  (Nov 7, 2006)"
car accident,"violent accidental death (transport, blown in minefield...)",2006,1,"reportedly stowaway hidden under vehicle, dead body found on A3 near Clanfield (GB) (Nov 4, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,1,"Fished out a dead body in the waters of Fouka, at least 10 missing on route from Spain to Ghazaouet (Nov 2, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,1,"died of heart attacked during police custody in Athens (GR) in fear of deportation (Oct 31, 2006)"
drowned,drowning or exhaustion related death,2006,6,"drowned sailing to Spain from Wahran (Algeria) (Oct 26, 2006)"
suicide - other,suicide,2006,1,"suicide, after waiting for asylum claim for 8 years in NL, having psychological trauma (Oct 26, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,12,"Tips direct boat in Spain, 8 km off the coast of Bousfer, Oran: 6 dead, 6 missing (Oct 26, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,3,"Recovered at sea the decomposed bodies of drowned migrants 3 (Oct 25, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,1,"Recovered the body of the third victim of the sinking of yesterday (Oct 25, 2006)"
drowned,drowning or exhaustion related death,2006,4,"drowned, 3 found, 1 missing shipwreck 8 miles from Malta on way from Libya to Italy (Oct 23, 2006). From Del Grande's data set (translated): Shipwreck off the island, 4 missing (Oct 26, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,2,"Boat capsizes, die a man and a woman pregnant (Oct 24, 2006)"
drowned,drowning or exhaustion related death,2006,1,"drowned, after shipwreck near Restinga Smir (MA) trying to reach Ceuta (E/MA) (Oct 11, 2006)"
drowned,drowning or exhaustion related death,2006,40,"reportedly drowned, missing after boat sank near Kithira Island (GR) (Oct 9, 2006). From Del Grande's data set (translated): Shipwreck near the coast of Antikythera, 40 people missing at sea (Oct 11, 2006)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2006,2,"died in minefield after entered in Vyssas area, in Evros (Greek/Turkish border) (Oct 8, 2006)"
suicide - other,suicide,2006,1,"suicide, reportedly selfharm, kept in HMP Rye Hill (GB) under Imm.Act pending depor. (Oct 5, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,20,"A sinking boat off the Canary Islands, 20 missing"
suicide - hanged,suicide,2006,1,"suicide, asylum seeker hanged himself in his flat in Rochdale (GB), fear of deportation  (Oct 1, 2006)"
drowned,drowning or exhaustion related death,2006,9,"reportedly drowned near Algerian coast, disappeared in an attempt to reach Spain (Jan 29, 2006). From Del Grande's data set (translated): 9 matches missing people from the coast of Oran on a boat of luck and headed to Spain (Jan 30, 2006)"
burned or asphyxiated due to arson attack,malicious intent related death / manslaughter,2006,1,"died after arson attack on detention Centre Schrassing (L) (Jan 29, 2006)"
fall,"violent accidental death (transport, blown in minefield...)",2006,1,"died after falling from balcony, escaping police search in his flat in Plumstead (GB) (Jan 23, 2006)"
drowned,drowning or exhaustion related death,2006,8,"drowned, 3 bodies found, 5 missing, boat capsised off the coast of Al-Hoceima to Spain (Jan 22, 2006). From Del Grande's data set (translated): Tips from a boat party at Hoceima and to Spain. 3 dead and 5 missing (Jan 24, 2006)"
hypothermia,drowning or exhaustion related death,2006,3,"found frozen on dinghy from TR to GR carrying migrants from Pakistan and Bangladesh (Jan 20, 2006). From Del Grande's data set (translated): 2 inflatable boats rescued off the island of Evia, on board 3 dead frostbitten (Jan 23, 2006)"
suicide - hanged,suicide,2006,1,"suicide, found hanged in Harmondsworth Immigr. Removal Cr. (GB) facing deportation  (Jan 18, 2006)"
starved,drowning or exhaustion related death,2006,50,"died of starvation thrown overboard boat landed on Yoff (Senegal) trying to reach E (Jan 11, 2006)"
suicide - hanged,suicide,2006,1,"suicide, hanged himself in Detention Centre in Marseille (F) waiting for deportation  (Jan 11, 2006)"
asphyxiated,drowning or exhaustion related death,2006,2,"stowaway, found in a truck in Ancona (I), suffocated by the gas-water in the truck (Jan 11, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,18,"bodies thrown overborad, boat rescued by ARC sailing ship, way from Africa to Spain (Jan 10, 2006)"
car accident,"violent accidental death (transport, blown in minefield...)",2006,1,"stowaway, died after being run over by the lorry he had been hiding under in Harlow (GB) (Jan 10, 2006)"
suicide - put on fire,suicide,2006,1,"suicide, set himself on fire in his car in Stockton (GB), feared being sent back to Iraq (Jan 9, 2006)"
drowned,drowning or exhaustion related death,2006,3,"reportedly drowned, found in advanced state of decomposition near Malta  (Jan 9, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,2,"died on way to hospital after their boat capsized near Malta (Jan 9, 2006)"
drowned,drowning or exhaustion related death,2006,3,"died after been rescued off  El Hierro, Canary Islands (E) after their boat sank (Jan 8, 2006)"
drowned,drowning or exhaustion related death,2006,7,"reportedly drowned, missing afer boat sank near the coasts of Crete Island (GR) (Jan 8, 2006)"
drowned,drowning or exhaustion related death,2006,1,"drowned, boat hit rocks near Hania (GR) on the way from Egypt to Italy (Jan 8, 2006)"
burned,"violent accidental death (transport, blown in minefield...)",2006,4,"died in Mauritania Hospital after gas bottle explosion in ship from Dakar (SN)  (Jan 7, 2006)"
drowned,drowning or exhaustion related death,2006,28,"drowned, bodies washed up near Blibilat coasts (MA), trying to reach Canary Isl. (E) (Jan 7, 2006)"
starved,drowning or exhaustion related death,2006,2,"reportedly died of starvation on the way to Lampedusa (I), bodies thrown overboard (Jan 7, 2006)"
starved,drowning or exhaustion related death,2006,1,"died of starvation crossing from Libya to Lampedusa (I), parents throw her overboard  (Jan 7, 2006)"
suicide - other,suicide,2006,1,"suicide, in his house in Vlissingen (NL) in fear of deportation  (Jan 7, 2006)"
car accident,"violent accidental death (transport, blown in minefield...)",2006,3,"car accident in Dannenreich (D) fleeing from a police chase during an identity control  (Jan 7, 2006)"
drowned,drowning or exhaustion related death,2006,30,"drowned, bodies washed up onto the Atlantic sea after a boat sank off Western Sahara (Jan 6, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,11,"died during attempts to reach Canary Islands (E) from Mauritanian coast (Jan 6, 2006)"
shot by the police,authorities related death,2006,1,"He died at the hospital in Nador a young man wounded by gunfire Spanish police while trying to climb over the networks of the border of Melilla one month before (Jan 7, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,1,"body found in his flat in London, one of best runners in GB, trained despite living on ¬£25/w (Jan 5, 2006)"
starved,drowning or exhaustion related death,2006,11,"died of starvation, boat found adrift after leaving from Cape Verdian to Canary Isl. (E) (Jan 4, 2006)"
drowned,drowning or exhaustion related death,2006,1,"drowned, shipwreck near Lampedusa (I), reattempt by one of deported Cap Anamur 37   (Jan 3, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,1,"Small boat sank near the island Lesvos, 1 dead (Jan 4, 2006)"
suicide - other,suicide,2006,1,"suicide, drank antifreeze, feared to be separated from her daughter by immigration officials  (Jan 3, 2006)"
murdered,malicious intent related death / manslaughter,2006,2,"murdered, fell while crossing border Iran-TR, trafficker cut their throat as they couldn t go on (Jan 1, 2006)"
unknown,unknown - supposedly exhaustion related death,2006,1,"leg broken when running between Iran and TR, the group had to leave him behind (Jan 1, 2006)"
drowned,drowning or exhaustion related death,2006,1,died crossing the Oder/Neisse border. German police did not record the precise date.
unknown,unknown - supposedly exhaustion related death,2005,17,"Shipwreck off the Canary Islands, 3 dead, 14 missing (Oct 1, 2005)"
unknown,unknown - supposedly exhaustion related death,2005,3,"Intercepted by the Guardia Civil boat a lot from Nador to Ceuta. A witness complaint: 3 dead passengers thrown into the sea by the military (Oct 1, 2005)"
drowned,drowning or exhaustion related death,2005,1,"found off the coast of Agrigento (I), drowned after a massive disembarkment (Sep 28, 2005)"
unknown,unknown - supposedly exhaustion related death,2005,1,"It sinks off the coast of Cyprus a ship sailed from Mersin in Turkey and live in Greece, 1 dead and 33 missing (Sep 28, 2005)"
shot by the police,authorities related death,2005,5,"died shot by Moroccan border guards, attempting to enter in Ceuta (E/MA) (Sep 27, 2005). From Del Grande's data set (translated): Assault on the barriers of the Spanish border in Morocco, Ceuta, 5 killed by gunfire or crushed in the crowd, 28 injured (Sep 29, 2005)"
drowned,drowning or exhaustion related death,2005,34,"drowned, after boat capsised in stormy waters off the North coast of Cyprus (Sep 26, 2005)"
drowned,drowning or exhaustion related death,2005,1,"drowned, jumped off stranded boat off the coast of Sicily, near marina di Palma (I) (Sep 26, 2005)"
unknown,unknown - supposedly exhaustion related death,2005,6,"Vessel in distress rescued off Lampedusa, 6 missing (Sep 24, 2005)"
car accident,"violent accidental death (transport, blown in minefield...)",2005,6,"A truck carrying immigrants falls into a ravine after an accident in the province of Erzurum: 6 dead and 50 injured (Sep 23, 2005)"
drowned,drowning or exhaustion related death,2005,18,"drowned off the coast of Morocco, near Dakhla, on their way to Canary Islands (Sep 20, 2005). From Del Grande's data set (translated): Sinking a boat just off the coast of Dakhla game, 500 km south of Laayoun. 2 bodies recovered, at least 16 missing (Sep 21, 2005)"
starved,drowning or exhaustion related death,2005,4,"found dead on a boat off the coast of Tunisia, traveling from Libya to Italy (Sep 20, 2005)"
shot by the police,authorities related death,2005,2,"shot by a Turkish coast guard while on a boat on its way to Greece (Sep 18, 2005). From Del Grande's data set (translated): Coast Guard fires on a small boat that refuses to stop, off the coast of Chios. On board 30 people, 1 dead, 2 injured (Sep 20, 2005)"
unknown,unknown - supposedly exhaustion related death,2005,1,"died in Melilla Hospital (E/MA) after attempt to enter the Spanish enclave (Sep 14, 2005)"
shot by the police,authorities related death,2005,1,"Assault on the barriers of the Spanish border in Melilla, Morocco. A young man dies hit by a rubber bullet fired by the Guardia Civil. Another man lost his life after serious injuries in a crash while fleeing from the men of the Moroccan armed forces (Sep 15, 2005)"
unknown,unknown - supposedly exhaustion related death,2005,4,"Sinking a boat heading to Greece in the Gulf of Saros, 4 dead (Sep 15, 2005)"
suicide - hanged,suicide,2005,1,"suicide, found hanged at Yarl  s Wood Removal Cr. (GB) so that his son could stay in GB  (Sep 14, 2005)"
drowned,drowning or exhaustion related death,2005,1,"suicide,found drowned at Salford Quays (GB) (Sep 13, 2005)"
unknown,unknown - supposedly exhaustion related death,2005,1,"1 found dead on the beach in Agrigento, Sicily (Sep 13, 2005)"
shot by the police,authorities related death,2005,1,"Macedonian police shooting of a woman trying to illegally cross the border with Greece. Badly injured (Sep 13, 2005)"
unknown,unknown - supposedly exhaustion related death,2005,2,"found dead, on a street in Geneva (CH), expelled from immigration centre (Sep 12, 2005)"
unknown,unknown - supposedly exhaustion related death,2005,1,"Dead boy injured trying to cross the barriers of the Spanish border in Melilla in Morocco (Sep 12, 2005)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2005,2,"blown in minefield at the TR-GR border. Bodies found by authorities in Kastanies (GR) (Sep 11, 2005)"
unknown,unknown - supposedly exhaustion related death,2005,21,"Stranded boat near Gela, Sicily, in 170 on board were forced to jump overboard. 11 dead, 10 missing (Sep 11, 2005)"
car accident,"violent accidental death (transport, blown in minefield...)",2005,4,"Hidden in the back of a truck, muoino 4 people in a car accident. They were attempting to enter Greece illegally (Sep 10, 2005)"
suicide - hanged,suicide,2005,1,"suicide, found hanged in his flat in Middleton (GB) after asylum claim was refused (Sep 3, 2005)"
shot by the police,authorities related death,2005,1,"1 dead in Melilla, killed, according to witnesses, by the Guardia Civil (Sep 2, 2005)"
unknown,unknown - supposedly exhaustion related death,2005,2,"died of injuries sustained attempting to enter the Spanish enclave of Melilla (E/MA) (Aug 28, 2005). From Del Grande's data set (translated): 2 dead in Melilla, in an attempt to climb over the barriers of the Spanish border in Morocco (Aug 27, 2005)"
unknown,unknown - supposedly exhaustion related death,2005,25,"25 died in a shipwreck on the routes between Anjouan and Mayotte (Aug 22, 2005)"
drowned,drowning or exhaustion related death,2005,26,"drowned, after boat capsized south of Malta (Aug 18, 2005)"
unknown,unknown - supposedly exhaustion related death,2005,2,"Rescued boat to Tenerife Largo, on board 2 dead (Aug 16, 2005)"
drowned,drowning or exhaustion related death,2005,2,"drowned, jumped off the boat while disembarking in Lampedusa (I) (Aug 15, 2005)"
asphyxiated,drowning or exhaustion related death,2005,4,"stowaways, suffocated in container coming from Casablanca (MA) in Rotterdam (NL) (Aug 12, 2005). From Del Grande's data set (translated): 4 found dead in a container at the port of Rotterdam, the ship that carried him had departed from Casablanca (Morocco) and had stopped a few days in a Spanish port, probably half of the 4 (Aug 13, 2005)"
suicide - other,suicide,2005,1,"suicide at asylum centre in Hechtel-Eksel (B), previously attempted suicide twice (Aug 11, 2005)"
unknown,unknown - supposedly exhaustion related death,2005,1,"Sinking boat off the coast of Crete immediate relief. 1 dead (Aug 8, 2005)"
drowned,drowning or exhaustion related death,2005,9,"2 drowned, 7 missing after boat capsized off the coast of Lesvos (GR) (Aug 7, 2005). From Del Grande's data set (translated): Sinking boat off the coast of Lesvos. 2 dead, 7 missing (Aug 26, 2005)"
unknown,unknown - supposedly exhaustion related death,2005,23,"Shipwrecked boat direct to the Canaries. 23 dead bodies recovered (Aug 6, 2005)"
unknown,unknown - supposedly exhaustion related death,2005,130,"Dispersed boat in the Strait of Sicily, 130 people on board, had asked for help with a mobile satellite (Aug 5, 2005)"
unknown,unknown - supposedly exhaustion related death,2005,1,"Brussels, 1 found dead in the undercarriage of a plane of Morocco (Aug 3, 2005)"
shot by the police,authorities related death,2005,1,"A young man dies killed by a police bullet on the beach Mrirt, Nador. The soldiers were shooting to prevent a group of emigrants to embark on a boat for Spain (Aug 2, 2005)"
drowned,drowning or exhaustion related death,2005,2,"drowned after small boat capsised in attempt to reach Kos island in the Aegean Sea (Jul 19, 2005)"
drowned,drowning or exhaustion related death,2005,3,"drowned, after their boat capsized off the coast of Turkey near Izmir (Jul 12, 2005). From Del Grande's data set (translated): Boat capsized off the coast of Greece in direct Izmir, 3 dead (Jul 14, 2005)"
unknown,unknown - supposedly exhaustion related death,2005,7,"Shipwreck off Malta, 7 missing (Jul 11, 2005)"
suicide - put on fire,suicide,2005,1,"suicide, set fire to himself at accommodation cr.in Bristol (GB) in fear of deportation. (Jul 6, 2005)"
unknown,unknown - supposedly exhaustion related death,2005,2,"Vicenza: 2 people found dead in truck in which they were traveling hidden (Jul 4, 2005)"
drowned,drowning or exhaustion related death,2005,39,"reportedly drowned after 10-day sail from Al-Hoceima (MA) to Spain (Jul 1, 2005)"
burned,"violent accidental death (transport, blown in minefield...)",2005,1,"burnt alive, found tied to a bed in a police cell in Dessau (D), case under investigation (Jun 30, 2005)"
police violence,authorities related death,2005,1,"died in Bremen (D), forced to drink medication by police in search for drugs (Jun 30, 2005)"
suicide - hanged,suicide,2005,1,"suicide, found hanged at Campsfield Removal Cr.(GB) after 3rd as. claim was refused (Jun 26, 2005)"
drowned,drowning or exhaustion related death,2005,2,"drowned, after boat capsized off the coast of Turkey near Dikili (Jun 25, 2005). From Del Grande's data set (translated): Boat capsized off the coast of Greece in direct Dikili, 2 dead (Jun 27, 2005)"
drowned,drowning or exhaustion related death,2005,27,"reportedly drowned in stormy waters off Malta; Maltese rescue-team came too late (Jun 22, 2005). From Del Grande's data set (translated): Disappearance boat off the coast of Malta. 27 people on board, had asked for help with a mobile satellite (Jun 24, 2005)"
unknown,unknown - supposedly exhaustion related death,2005,12,"Rescued by boat drifting 10 days off of Gran Canaria, in the Canary Islands. 11 people died on the journey and their bodies thrown overboard by his companions. Another man dies of a heart attack just landed (Jun 20, 2005)"
asphyxiated,drowning or exhaustion related death,2005,3,"Three men died poisoned by the fumes of the cargo ship on which they traveled to Denmark hidden (Jun 19, 2005)"
died from dehydration,drowning or exhaustion related death,2005,14,"Returning from Libya remains a jeep broke down more than 300 km from Agadez. Two of the 16 passengers march on foot to a hundred kilometers to the oasis dell'Arbre du Tnr. The other 14 die of dehydration (Jun 18, 2005)"
unknown,unknown - supposedly exhaustion related death,2005,11,"11 died in the sinking of a kwass kwassa party from Anjouan and sunk north of Mayotte, between Acoua and M'Tsangamouji (Jun 17, 2005)"
drowned,drowning or exhaustion related death,2005,2,"Hidden on a Dutch ship live in Greece, the captain discovers them and throws them overboard. 2 men drowned (Jun 16, 2005)"
