cause_of_death,carto_db_cause_of_death,year,dead_and_missing,description
suicide - other,suicide,2006,1,"suicide, asylum seeker detained at Foreigners Registration Crentre, Pabrade (LT) (Jul 15, 2006)"
police violence,authorities related death,2006,1,"asylum seeker strangled from policeman in social welfare office in Trondheim (N) (Jul 8, 2006)"
died from dehydration,drowning or exhaustion related death,2006,3,"found when boat arrived on Tenerife (E), died by dehydration during crossing  (Jul 6, 2006). From Del Grande's data set (translated): Boat rescued off the Canary Islands, on board 3 dead (Jul 7, 2006)"
shot by the police,authorities related death,2006,2,"Explodes a rebellion of hundreds of Nigerian migrants detained in al-Fellah prison in Tripoli, awaiting deportation. The police opened fire: 2 dead, both Nigerians (Jul 1, 2006)"
asphyxiated,drowning or exhaustion related death,2006,1,"stowaway, died from heat exhaustion 2 weeks later found in roadside in Essex (GB) (Jun 21, 2006)"
suicide - other,suicide,2006,1,"suicide, found hanged in Asylum Centre in Hansthholm (D) after asylum claim rejected (Jun 18, 2006)"
hypothermia and dehydration,drowning or exhaustion related death,2006,1,"died of dehydration and hypothermia in hospital after boat landed in Arguineguin (E) (Jun 11, 2006)"
hypothermia and dehydration,drowning or exhaustion related death,2006,1,"died of dehydration and hypothermia, found in boat landed in Arguineguin (E)  (Jun 11, 2006)"
"wrong medical treatment, overdose",malicious intent related death / manslaughter,2006,1,"found in Bologna det. cr. (I), overdose by antiepileptic medicine, he wasn t epileptic (Jun 7, 2006)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2006,1,"died in minefield crossing Turkish-Greek border  (May 29, 2006)"
car accident,"violent accidental death (transport, blown in minefield...)",2006,42,"stowaways, small truck crashed into parked trailer on highway near Osmaniye (TR) (May 18, 2006). From Del Grande's data set (translated): A truck with immigrants on board collided with a truck in southern Turkey, near the province of Adana, Osmaniye: 44 dead (May 20, 2006)"
lack of medical care,drowning or exhaustion related death,2006,1,"no medical treatment, got lower priority for heart transplant than GB citizens (May 14, 2006)"
starved,drowning or exhaustion related death,2006,37,"26 missing, 11 found mummified in boat drifting near the Caribbean on way to Spain  (May 12, 2006). From Del Grande's data set (translated): Recovered off the coast of Barbados in the Caribbean, a boat adrift for three months, having left Cape Verde for Spain: 11 bodies on board and 26 people missing documents (May 13, 2006)"
suicide - under train,suicide,2006,1,"suicide, jumped under train, he lost work permit after refusal of asylum claim (GB) (May 12, 2006)"
suicide - hanged,suicide,2006,1,"suicide, found hanged at Greenbank Drive Centre (GB) after asylum claim refused (May 6, 2006)"
lack of medical care,drowning or exhaustion related death,2006,1,"died of asthma attack in detention Centre in Trajal, Ceuta (E/MA) awaiting espulsion  (Apr 26, 2006). From Del Grande's data set (translated): Dies of an asthma attack a man imprisoned in a detention center for undocumented immigrants to Tarajal, the Spanish enclave of Ceuta in Morocco. He had crossed the border the day before and was waiting to be expelled (Apr 27, 2006)"
run over by a truck,"violent accidental death (transport, blown in minefield...)",2006,1,"reportedly stowaway, fell from truck dragged a mile along A14, Cambridegeshire (GB) (Apr 22, 2006)"
shot by the police,authorities related death,2006,1,"murdered, shot by the police during a street riot in Germany (Apr 13, 2006)"
suicide - hanged,suicide,2006,1,"suicide, hanged under bridge, asylum claim refused (GB); known also as Paul Kiese (Mar 8, 2006)"
shot by the police,authorities related death,2006,3,"died climbing border fence in Melilla (E/MA), reportedly one shot by border guards (Mar 6, 2006)"
asphyxiated,drowning or exhaustion related death,2006,4,"stowaways, died of asphyxia, found on a ship arrived in Canary Isl. from Ivory Coast (Feb 21, 2006). From Del Grande's data set (translated): Found 4 crew died of asphyxiation in the hold of the Panamanian freighter C-Akabey party from the Ivory Coast and directed in Libya. The bodies were left to the authorities to Porto in Las Palmas, Canary Islands (Feb 22, 2006)"
died from dehydration,drowning or exhaustion related death,2006,1,"baby of asylum family died of dehydration in Fairfield Hospital (GB), no medical aid  (Feb 19, 2006)"
hypothermia,drowning or exhaustion related death,2006,1,"frozen, died while crossing the Bulgarian-Greek border on mount Falakon (Feb 14, 2006)"
died of a shock,drowning or exhaustion related death,2006,1,"died of a shock after his cousin was beaten up by border guards in Patras port (GR) (Feb 12, 2006)"
hypothermia and dehydration,drowning or exhaustion related death,2006,1,"died of dehydration and hypothermia in hospital after boat landed in Tenerife (E) (Feb 11, 2006)"
starved,drowning or exhaustion related death,2006,8,"died of hunger and thirst, bodies thrown overboard during journey to reach Italy (Feb 8, 2006)"
car accident,"violent accidental death (transport, blown in minefield...)",2006,5,"died in car accident trying to escape police in Germany after being smuggled from Cz  (Feb 7, 2006)"
starved,drowning or exhaustion related death,2006,3,"starvation, 2 thrown overboard, 1 body found on a boat docked on Canary Isl. (E) (Dec 31, 2006). From Del Grande's data set (translated): Landing in the Canary Islands, a dead man on board for hypothermia; abandoned at sea the bodies of two other victims (Jan 1, 2007)"
suicide - hanged,suicide,2006,1,"suicide, found hanged at friend s home in Bedford (GB) after being denied a visa extension (Dec 31, 2006)"
shot by the police,authorities related death,2006,1,"Hit by a bullet of Moroccan auxiliary forces while trying to climb over the double fence of the Spanish border in Melilla, a young man is killed (Dec 24, 2006)"
police violence,authorities related death,2006,1,"stabbed by MA police in Rabat, deportation operation to prevent migration to Europe (Dec 22, 2006)"
died of kidney failure,drowning or exhaustion related death,2006,1,"He died of kidney failure a man deported in the city of Oujda on the border with Algeria (Dec 21, 2006)"
starved,drowning or exhaustion related death,2006,24,"died of starvation, bodies thrown overboard boat wrecked in Yoff(Mauritania) way to E (Dec 19, 2006)"
starved,drowning or exhaustion related death,2006,28,"died of starvation in boat instructed to change route by Spanish coastguard (Dec 7, 2006)"
shot by the police,authorities related death,2006,1,"A dead man killed by gunfire during a Moroccan army assault on the grillage of the Spanish border in Melilla (Dec 8, 2006)"
starved,drowning or exhaustion related death,2006,5,"died of starvation: 4 thrown overboard boat on way from MA to E; 1 died in hospital MA (Dec 7, 2006)"
suicide - jumped from building,suicide,2006,1,"suicide, jumped from 5th floor of an induction centre for asylum seekers in Margate (GB) (Dec 7, 2006)"
hypothermia,drowning or exhaustion related death,2006,2,"Landing in the Canary Islands, two deaths from hypothermia (Dec 7, 2006)"
heat exhaustion,drowning or exhaustion related death,2006,1,"stowaway, died from heat exhaustion in back of a truck in a roadside in Essex (GB) (Dec 5, 2006)"
starved,drowning or exhaustion related death,2006,12,"found dead on a drifitng boat off Capeverdian islands on way to the Canary Island. (Dec 2, 2006). From Del Grande's data set (translated): Rescued a boat of migrants to 300 nautical miles from the Canary Islands. On board 1 dead. Another 18 people have died on the journey and their bodies thrown overboard by his companions (Nov 30, 2006)"
hypothermia,drowning or exhaustion related death,2006,1,"He died one of the four migrants admitted to the hospital for hypothermia Candelaria, Tenerife, after landing the day before the Canaries (Dec 3, 2006)"
car accident,"violent accidental death (transport, blown in minefield...)",2006,1,"reportedly stowaway hidden under vehicle, dead body found on A3 near Clanfield (GB) (Nov 4, 2006)"
suicide - other,suicide,2006,1,"suicide, after waiting for asylum claim for 8 years in NL, having psychological trauma (Oct 26, 2006)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2006,2,"died in minefield after entered in Vyssas area, in Evros (Greek/Turkish border) (Oct 8, 2006)"
suicide - other,suicide,2006,1,"suicide, reportedly selfharm, kept in HMP Rye Hill (GB) under Imm.Act pending depor. (Oct 5, 2006)"
suicide - hanged,suicide,2006,1,"suicide, asylum seeker hanged himself in his flat in Rochdale (GB), fear of deportation  (Oct 1, 2006)"
burned or asphyxiated due to arson attack,malicious intent related death / manslaughter,2006,1,"died after arson attack on detention Centre Schrassing (L) (Jan 29, 2006)"
fall,"violent accidental death (transport, blown in minefield...)",2006,1,"died after falling from balcony, escaping police search in his flat in Plumstead (GB) (Jan 23, 2006)"
hypothermia,drowning or exhaustion related death,2006,3,"found frozen on dinghy from TR to GR carrying migrants from Pakistan and Bangladesh (Jan 20, 2006). From Del Grande's data set (translated): 2 inflatable boats rescued off the island of Evia, on board 3 dead frostbitten (Jan 23, 2006)"
suicide - hanged,suicide,2006,1,"suicide, found hanged in Harmondsworth Immigr. Removal Cr. (GB) facing deportation  (Jan 18, 2006)"
starved,drowning or exhaustion related death,2006,50,"died of starvation thrown overboard boat landed on Yoff (Senegal) trying to reach E (Jan 11, 2006)"
suicide - hanged,suicide,2006,1,"suicide, hanged himself in Detention Centre in Marseille (F) waiting for deportation  (Jan 11, 2006)"
asphyxiated,drowning or exhaustion related death,2006,2,"stowaway, found in a truck in Ancona (I), suffocated by the gas-water in the truck (Jan 11, 2006)"
car accident,"violent accidental death (transport, blown in minefield...)",2006,1,"stowaway, died after being run over by the lorry he had been hiding under in Harlow (GB) (Jan 10, 2006)"
suicide - put on fire,suicide,2006,1,"suicide, set himself on fire in his car in Stockton (GB), feared being sent back to Iraq (Jan 9, 2006)"
burned,"violent accidental death (transport, blown in minefield...)",2006,4,"died in Mauritania Hospital after gas bottle explosion in ship from Dakar (SN)  (Jan 7, 2006)"
starved,drowning or exhaustion related death,2006,2,"reportedly died of starvation on the way to Lampedusa (I), bodies thrown overboard (Jan 7, 2006)"
starved,drowning or exhaustion related death,2006,1,"died of starvation crossing from Libya to Lampedusa (I), parents throw her overboard  (Jan 7, 2006)"
suicide - other,suicide,2006,1,"suicide, in his house in Vlissingen (NL) in fear of deportation  (Jan 7, 2006)"
car accident,"violent accidental death (transport, blown in minefield...)",2006,3,"car accident in Dannenreich (D) fleeing from a police chase during an identity control  (Jan 7, 2006)"
shot by the police,authorities related death,2006,1,"He died at the hospital in Nador a young man wounded by gunfire Spanish police while trying to climb over the networks of the border of Melilla one month before (Jan 7, 2006)"
starved,drowning or exhaustion related death,2006,11,"died of starvation, boat found adrift after leaving from Cape Verdian to Canary Isl. (E) (Jan 4, 2006)"
suicide - other,suicide,2006,1,"suicide, drank antifreeze, feared to be separated from her daughter by immigration officials  (Jan 3, 2006)"
murdered,malicious intent related death / manslaughter,2006,2,"murdered, fell while crossing border Iran-TR, trafficker cut their throat as they couldn t go on (Jan 1, 2006)"
shot by the police,authorities related death,2005,5,"died shot by Moroccan border guards, attempting to enter in Ceuta (E/MA) (Sep 27, 2005). From Del Grande's data set (translated): Assault on the barriers of the Spanish border in Morocco, Ceuta, 5 killed by gunfire or crushed in the crowd, 28 injured (Sep 29, 2005)"
car accident,"violent accidental death (transport, blown in minefield...)",2005,6,"A truck carrying immigrants falls into a ravine after an accident in the province of Erzurum: 6 dead and 50 injured (Sep 23, 2005)"
starved,drowning or exhaustion related death,2005,4,"found dead on a boat off the coast of Tunisia, traveling from Libya to Italy (Sep 20, 2005)"
shot by the police,authorities related death,2005,2,"shot by a Turkish coast guard while on a boat on its way to Greece (Sep 18, 2005). From Del Grande's data set (translated): Coast Guard fires on a small boat that refuses to stop, off the coast of Chios. On board 30 people, 1 dead, 2 injured (Sep 20, 2005)"
shot by the police,authorities related death,2005,1,"Assault on the barriers of the Spanish border in Melilla, Morocco. A young man dies hit by a rubber bullet fired by the Guardia Civil. Another man lost his life after serious injuries in a crash while fleeing from the men of the Moroccan armed forces (Sep 15, 2005)"
suicide - hanged,suicide,2005,1,"suicide, found hanged at Yarl  s Wood Removal Cr. (GB) so that his son could stay in GB  (Sep 14, 2005)"
shot by the police,authorities related death,2005,1,"Macedonian police shooting of a woman trying to illegally cross the border with Greece. Badly injured (Sep 13, 2005)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2005,2,"blown in minefield at the TR-GR border. Bodies found by authorities in Kastanies (GR) (Sep 11, 2005)"
car accident,"violent accidental death (transport, blown in minefield...)",2005,4,"Hidden in the back of a truck, muoino 4 people in a car accident. They were attempting to enter Greece illegally (Sep 10, 2005)"
suicide - hanged,suicide,2005,1,"suicide, found hanged in his flat in Middleton (GB) after asylum claim was refused (Sep 3, 2005)"
shot by the police,authorities related death,2005,1,"1 dead in Melilla, killed, according to witnesses, by the Guardia Civil (Sep 2, 2005)"
asphyxiated,drowning or exhaustion related death,2005,4,"stowaways, suffocated in container coming from Casablanca (MA) in Rotterdam (NL) (Aug 12, 2005). From Del Grande's data set (translated): 4 found dead in a container at the port of Rotterdam, the ship that carried him had departed from Casablanca (Morocco) and had stopped a few days in a Spanish port, probably half of the 4 (Aug 13, 2005)"
suicide - other,suicide,2005,1,"suicide at asylum centre in Hechtel-Eksel (B), previously attempted suicide twice (Aug 11, 2005)"
shot by the police,authorities related death,2005,1,"A young man dies killed by a police bullet on the beach Mrirt, Nador. The soldiers were shooting to prevent a group of emigrants to embark on a boat for Spain (Aug 2, 2005)"
suicide - put on fire,suicide,2005,1,"suicide, set fire to himself at accommodation cr.in Bristol (GB) in fear of deportation. (Jul 6, 2005)"
burned,"violent accidental death (transport, blown in minefield...)",2005,1,"burnt alive, found tied to a bed in a police cell in Dessau (D), case under investigation (Jun 30, 2005)"
police violence,authorities related death,2005,1,"died in Bremen (D), forced to drink medication by police in search for drugs (Jun 30, 2005)"
suicide - hanged,suicide,2005,1,"suicide, found hanged at Campsfield Removal Cr.(GB) after 3rd as. claim was refused (Jun 26, 2005)"
asphyxiated,drowning or exhaustion related death,2005,3,"Three men died poisoned by the fumes of the cargo ship on which they traveled to Denmark hidden (Jun 19, 2005)"
died from dehydration,drowning or exhaustion related death,2005,14,"Returning from Libya remains a jeep broke down more than 300 km from Agadez. Two of the 16 passengers march on foot to a hundred kilometers to the oasis dell'Arbre du Tnr. The other 14 die of dehydration (Jun 18, 2005)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2005,2,"blown in a minefiled between Turkey and Greece while crossing border (May 28, 2005). From Del Grande's data set (translated): Minefield in Evros, greek-turkish border. An explosion ago 2 deaths. They tried to enter illegally in Greece (May 30, 2005)"
died from dehydration,drowning or exhaustion related death,2005,11,"died from dehydration near Algerian border after vehicle broke down in desert (May 26, 2005). From Del Grande's data set (translated): Discovered 600 km from Agadez the bodies of 11 young people died of thirst after an engine failure of the 4x4 with which they tried to cross the desert to get into Algeria (Apr 29, 2005)"
exhaustion,drowning or exhaustion related death,2005,1,"died of exhaustion, found dead on a beach in Fuerteventura (E)  (Apr 30, 2005)"
suicide - hanged,suicide,2005,1,"suicide, found hanged after 2 months detention once repatriated to Syria from CH (Apr 24, 2005)"
shot by the police,authorities related death,2005,1,"A minibus load of migrants fleeing a checkpoint in Muradiye Van. Police fire. One dead and 3 injured (Apr 15, 2005)"
starved,drowning or exhaustion related death,2005,18,"Rescued off the coast of Oran boat adrift for nine days, had left al-Hoceima, Morocco to Spain. On board 24 survivors and two dead bodies, but they had started in 42. Probably thrown overboard by his companions the bodies of 16 more victims (Apr 11, 2005)"
suicide - hungerstrike,suicide,2005,1,"suicide, found dead in a security cell in Linz (A), hungerstrike in fear of deportation (Apr 9, 2005)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2005,2,"blown in minefield in attempt to cross the Turkish-Greek border (Apr 3, 2005). From Del Grande's data set (translated): Minefield in Evros, greek-turkish border. An explosion ago 2 dead and one wounded. They tried to enter illegally in Greece (Apr 5, 2005)"
starved,drowning or exhaustion related death,2005,14,"died of starvation on a boat drifting near El-Hierro (E) (Mar 30, 2005)"
murdered,malicious intent related death / manslaughter,2005,9,"Ragusa, Sicily smugglers throw passengers overboard to avoid detection of the Italian patrol boats. 6 dead, 3 missing (Mar 24, 2005)"
frozen,"violent accidental death (transport, blown in minefield...)",2005,1,"stowaway, found frozen in the landing gear of a plane in Brussels (B) (Mar 7, 2005)"
suicide - other,suicide,2005,1,"suicide, jumped out of window, depressed because couldn t get staying permit in D (Feb 24, 2005)"
hypothermia,drowning or exhaustion related death,2005,1,"Landing in Almeria, one of the passengers died of hypothermia (Feb 22, 2005)"
suicide - hanged,suicide,2005,1,"suicide, found hanged during period of remand, Authorities tried to suppress the case (Feb 21, 2005)"
hypothermia,drowning or exhaustion related death,2005,1,"died of hypothermia shortly after arriving in Alboran (E) by boat (Feb 20, 2005)"
suicide - hanged,suicide,2005,1,"suicide, found hanged in HM Prison in Wandsworth (GB) (Feb 13, 2005)"
suicide - put on fire,suicide,2005,1,"suicide, set herself on fire in Bradford (GB), depression after losing asylum appeal (Feb 6, 2005)"
murdered,malicious intent related death / manslaughter,2005,1,"murdered by Yemeni authorities, rempatriated after asylum claim was refused in NL (Dec 31, 2005)"
"wrong medical treatment, overdose",malicious intent related death / manslaughter,2005,1,"died in detention centre Pian Del Lago (I), administered high ammount of placating  (Dec 31, 2005)"
police violence,authorities related death,2005,26,"Four officers in riot gear attacked the Egyptians some 3,500 Sudanese refugees who patrol the park for three months, ""Mustafa Mahmoud"" in the residential district of Mohandessin, Cairo, just a few hundred meters from the offices of the United Nations High Commissioner for Refugees, asking to be resettled in a third country. At the end of the clashes there are 26 dead, including 7 women and 2 children (Dec 30, 2005)"
murdered,malicious intent related death / manslaughter,2005,2,"stowaway, died during journey to Kallo (NL), thrown from cargoship by compatriots  (Dec 20, 2005). From Del Grande's data set (translated): 2 found dead in the sea in the port of Antwerp, thrown into the water from the ship which were hidden with 8 mates from Nigeria (Dec 22, 2005)"
shot,malicious intent related death / manslaughter,2005,1,"murdered by a shotgun in Kingston (Jamaica) 9 days after being deported from GB (Dec 10, 2005)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2005,2,"Minefield of Kastanies, greek-turkish border. An explosion kills 2 people. They tried to enter illegally in Greece (Dec 10, 2005)"
asphyxiated,drowning or exhaustion related death,2005,3,"stowaways, found dead in a container on a Danish ship between Morocco and Spain. (Dec 4, 2005)"
shot by the police,authorities related death,2005,1,"shot by police, minivan way to Europa refused to stop at check point on Carikci (TR) (Nov 27, 2005). From Del Grande's data set (translated): A van load of migrants fleeing a checkpoint in Carikci, Igdir. Police fire. One dead and 4 seriously injured (Nov 28, 2005)"
fall,"violent accidental death (transport, blown in minefield...)",2005,1,"died after falling off a window at Villa Salus Reception Cr. for migrants in Bologna (I) (Nov 24, 2005)"
hypothermia,drowning or exhaustion related death,2005,3,"died of hypothermia in attempt to cross the border between Ukraine and Slovakia (Nov 24, 2005). From Del Grande's data set (translated): Found the bodies of three dead men frozen to death on the border between Ukraine and Slovakia (Nov 25, 2005)"
fall,"violent accidental death (transport, blown in minefield...)",2005,1,"jumped from balcony anf fell in Den Haag (NL), in fear of arrest for deportation  (Nov 22, 2005)"
car accident,"violent accidental death (transport, blown in minefield...)",2005,1,"stowaway, driver lost control over truck attempting to escape police in Prevenza (GR) (Nov 14, 2005). From Del Grande's data set (translated): Pull off the road to avoid the checkpoint, illegally transporting 12 people direct to Athens. 1 dead, 2 injured in the incident serious (Nov 15, 2005)"
hypothermia,drowning or exhaustion related death,2005,1,"found dead on a ship transporting migrants, stopped near the coast of Andalusia (E) (Nov 4, 2005)"
starved,drowning or exhaustion related death,2005,11,"found dead on a boat from Morocco to Spain (Nov 2, 2005)"
suicide - jumped from building,suicide,2005,1,"suicide, jumped from hospital after recovered for self harm in Lamezia Terme (I) Cr.  (Oct 31, 2005)"
burned,"violent accidental death (transport, blown in minefield...)",2005,1,"burnt alive in detention cr. at Schiphol(NL).He was also known as Vitaly Khvylovyy. (Oct 25, 2005)"
burned,"violent accidental death (transport, blown in minefield...)",2005,1,"burnt alive after fire in detention centre at Schipol Airport (NL) (Oct 25, 2005)"
burned,"violent accidental death (transport, blown in minefield...)",2005,9,"burnt alive after a fire in detention centre at Schiphol Airport (NL) (Oct 25, 2005). From Del Grande's data set (translated): Fire in a detention center for foreigners awaiting deportation, Amsterdam, 11 dead (Oct 28, 2005)"
suicide - hanged,suicide,2005,1,"suicide, hanged himself with bed sheets while in police custody in Hamburg (D) (Oct 20, 2005)"
starved,drowning or exhaustion related death,2005,2,"Tamanghasset blocked and threatened by police raids in Algeria, 2 Guineans give up to Europe and take the way back on a truck bound for Kidal, Mali. But during the journey in the desert, the two they die of starvation. The bodies are buried by their fellow passengers in the sand (Oct 18, 2005)"
lack of medical care,drowning or exhaustion related death,2005,1,"died in Birmingham hospital, after release from Yarls Wood Detention Centre (GB)  (Oct 10, 2005)"
shot by the police,authorities related death,2005,1,"shot by Greek border guard near the border with Macedonia (Oct 8, 2005)"
starved,drowning or exhaustion related death,2005,20,"Doctors Without Borders rescued more than 500 migrants arrested by the Moroccan army in the mountains around Ceuta and Melilla and abandoned for days in the desert on the border with Algeria, in the region of El-Aouina Souatar, in Bouarfa. Witnesses said at least 20 people have died of starvation (Oct 8, 2005)"
crushed,"violent accidental death (transport, blown in minefield...)",2005,6,"Assault on the barriers of the Spanish border in Morocco, Melilla, 6 deaths by gunshot or crushed in the crowd, 30 injured (Oct 6, 2005)"
run over,"violent accidental death (transport, blown in minefield...)",2005,1,"A man falls dall'autotreno where traveling hidden along with 5 mates and dies (Oct 6, 2005)"
starved,drowning or exhaustion related death,2005,2,"died of starvation on way to Spain,found on a boat drifting off the coast of Algeria (Oct 3, 2005). From Del Grande's data set (translated): They die at the hospital in Gran Canaria 2 men landed a few days earlier in a serious condition of hypothermia, dehydration and malnutrition (Oct 2, 2005)"
suicide - hanged,suicide,2005,1,"suicide, found hanged  in Merksplas (B), in fear of deportation (Jan 24, 2005)"
suicide - hanged,suicide,2005,1,"suicide, found hanged in prison in Sarnen (CH) (Jan 22, 2005)"
starved,drowning or exhaustion related death,2005,10,"found dead on a boat drifting 480 km suth of Canary Islands (E) (Jan 18, 2005). From Del Grande's data set (translated): Located 300 km south of the Canary Islands a boat adrift. On board the bodies of 10 men died of starvation. As many may have thrown into the sea, there were no survivors (Jan 19, 2005)"
shot by the police,authorities related death,2005,11,"shot by Spanish and Moroccan police whilst trying to cross fences to Ceuta and Melilla (E) (Jan 9, 2005)"
died after a fight,malicious intent related death / manslaughter,2005,2,"died at friends  house, beaten by security guards when he refused to be deported (Jan 9, 2005)"
suicide - other,suicide,2005,1,"suicide, asylum seeker suffering from depression killed himself in Newcastle (GB) (Jan 9, 2005)"
suicide - jumped from building,suicide,2005,1,"suicide, killed friend and her son, jumped from 5th floor in NL, fear of repatriation (Jan 9, 2005)"
murdered,malicious intent related death / manslaughter,2005,2,"murdered, pushed down from 5th floor in NL by friend in fear of repatriation (Jan 9, 2005)"
heat exhaustion,drowning or exhaustion related death,2005,1,"died of overheating, found on a parking place in Ludwigsfeld (D), smuggled paid $5000 (Jan 6, 2005)"
hypothermia,drowning or exhaustion related death,2005,1,"died of hypothermia in his mother s arms on their boat to Spain (Jan 3, 2005)"
starved,drowning or exhaustion related death,2005,3,"died of thirst, travelling through desert to Tumu, Niger to get to LY border (Jan 2, 2005)"
hypothermia,drowning or exhaustion related death,2004,18,"froze to death on a boat on the way from Vlora (AL) to Italy (Sep 30, 2004)"
hypothermia,drowning or exhaustion related death,2004,3,"died of hypothermia on a boat on the way from Vlora (AL) to Italy (Sep 30, 2004)"
suicide - put on fire,suicide,2004,1,"suicide, set himself on fire in Paris (F) in front of his embassy (Sep 28, 2004)"
lack of medical care,drowning or exhaustion related death,2004,1,"died in detention Centre due to pulmonay embolish, lacking medical care  (Sep 26, 2004)"
suicide - hanged,suicide,2004,1,"suicide, found hanged in an emergency accommodation in Newcastle (GB)  (Sep 25, 2004)"
suicide - jumped in water,suicide,2004,1,"suicide, during his deportation from Almeria (E) to Al-Hoceima (MA) (Sep 8, 2004)"
suicide - hanged,suicide,2004,1,"suicide, found hanged in Forest /Vorst Prison (Bruxelles), misterious circumstances (Sep 7, 2004)"
heat exhaustion,drowning or exhaustion related death,2004,2,"Expelled from Libya and abandoned to the Egyptian border, 2 people died from the heat (Aug 30, 2004)"
asphyxiated,drowning or exhaustion related death,2004,1,"stowaway, body found in the trunk of his girlfriend's car in Genova (I) (Aug 24, 2004)"
asphyxiated,drowning or exhaustion related death,2004,2,"stowaway, found dead in the roof luggage rack of a car on way to Spain (Aug 23, 2004). From Del Grande's data set (translated): A boy dies suffocated in the trunk of a car aboard a ferry to Algeciras where he was hiding to pass the Spanish border (Aug 25, 2004)"
asphyxiated,drowning or exhaustion related death,2004,1,"stowaway, dead body found in Playa de Palmones-Los Barrios, Cadiz (E) (Aug 20, 2004)"
suicide - other,suicide,2004,1,"suicide , found dead in detention centre in Rotterdam (NL), in fear of deportation (Aug 19, 2004)"
suicide - other,suicide,2004,1,"suicide, found in Merksplas (B) detention centre, was denied medical help for depression (Aug 8, 2004)"
starved,drowning or exhaustion related death,2004,1,"died in overcrowded boat trying to reach Italy from Libya, thrown off the boat (Aug 7, 2004)"
hypothermia,drowning or exhaustion related death,2004,1,"died during rescue of an overcrowded boat trying to reach Italy from Libya (Aug 7, 2004)"
starved,drowning or exhaustion related death,2004,26,"died in overcrowded boat trying to reach I from Libia, bodies thrown overboard (Aug 7, 2004). From Del Grande's data set (translated): 28 deaths from starvation, hypothermia, dehydration during the crossing of the Strait of Sicily on a boat party from the African coast and thrown overboard by his companions travel (Aug 8, 2004)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2004,4,"One dead and 4 wounded on antipersonnel minefields in Evros in north-eastern border with Turkey (Aug 6, 2004)"
suicide - hanged,suicide,2004,1,"hanged himself in refugee housing facility in GB, police refused to reveal details (Aug 5, 2004)"
suicide - hanged,suicide,2004,1,"suicide, found hanged in prison in Livorno (I), waiting to be put on trial (Jul 29, 2004)"
suicide - hanged,suicide,2004,1,"suicide, found hanged in prison in Busto Arsizio (I) after 4 days of detention (Jul 27, 2004)"
suicide - hanged,suicide,2004,1,"suicide, found hanged at Dungavel det. cr. (Scotland-GB),he was denied interpreter (Jul 22, 2004)"
frozen,"violent accidental death (transport, blown in minefield...)",2004,1,"stowaway, frozen in landing gear of airplain from Dominican Republic in Düsseldorf (Jul 20, 2004)"
suicide - hanged,suicide,2004,1,"suicide, hanged himself in Harmondsworth Centre (GB) in fear of deportation (Jul 18, 2004)"
suicide - other,suicide,2004,1,"suicide, fell from Colnbrook imm. Removal Centre (GB) trying to hang himself (Jul 10, 2004)"
car accident,"violent accidental death (transport, blown in minefield...)",2004,1,"pregnant, killed in a collision with a train at alevel crossing in Hellin (E) (Jul 4, 2004)"
car accident,"violent accidental death (transport, blown in minefield...)",2004,4,"killed in a collision with a train at a level crossing in Hellin (E) (Jul 4, 2004)"
suicide - other,suicide,2004,1,"suicide, shot himself in his car after his asylum claim was refused (GB) (Jun 24, 2004)"
lack of medical care,drowning or exhaustion related death,2004,1,"no medical care, died on way from recemption camp in Eindhoven (NL) to hospital (Jun 13, 2004)"
car accident,"violent accidental death (transport, blown in minefield...)",2004,1,"A truck carrying 110 people capsizes in an accident in Kozluk, Batman. A man dies, 61 wounded (Jun 2, 2004)"
lack of medical care,drowning or exhaustion related death,2004,1,"died at Prestwich hospital, after being sedated and restrained by staff (May 27, 2004)"
asphyxiated,drowning or exhaustion related death,2004,3,"found dead on highway A7, after being abandoned by driver of a van near San Roque (E) (May 24, 2004). From Del Grande's data set (translated): 3 found dead and a man in serious condition along a national highway in San Roque, near Cadiz, probably abandoned by the driver of the vehicle they were traveling hidden (May 25, 2004)"
died of a shock,drowning or exhaustion related death,2004,1,"died in fear of deportation from Portugal to Ukraine, auth. overruled court sentence (May 24, 2004)"
suicide - other,suicide,2004,1,"suicide while in a detention centre in Carlslund, near Stockholm (S) (May 23, 2004)"
murdered,malicious intent related death / manslaughter,2004,1,"asylum seeker murdered in park near Asylum Seeker Centre Tattes in Vernier (F) (May 18, 2004)"
fall,"violent accidental death (transport, blown in minefield...)",2004,1,"stowaway, found dead  in landing gear of plane from Africa, 10 km south of Lisbon (P) (May 17, 2004). From Del Grande's data set (translated): Man dies benumbed traveling hidden in the undercarriage of a plane to Lisbon. The body crashes while landing (May 17, 2004)"
suicide - hanged,suicide,2004,1,"suicide, found hanged in his flat in Glasgow (GB), facing eviction (May 17, 2004)"
asphyxiated,drowning or exhaustion related death,2004,5,"stowaway, died from inhalation of toxic gas in a ship on way to Las Palmas (E) (May 16, 2004)"
