NCT Number,Title,Status,Conditions,Gender,Age,Phases,Enrollment,Study Type,Start Date,Completion Date,URL,clean_age,min_age,age_groups
NCT03806478,Study of APH-1105 in Patients With Mild to Moderate Alzheimer's Disease,Not yet recruiting,Dementia|Alzheimer Disease 1|Alzheimer Disease 2|Alzheimer Disease 3,All,"50 Years and older   (Adult, Older Adult)",Phase 2,60,Interventional,June 2021,December 2022,https://ClinicalTrials.gov/show/NCT03806478,50 Years and older ,50,40 to 65 years old
NCT00675090,Bridging Study With GSK239512 In Patients With Mild To Moderate Alzheimer's Disease,Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 1,28,Interventional,"February 21, 2008","June 16, 2009",https://ClinicalTrials.gov/show/NCT00675090,50 Years and older ,50,40 to 65 years old
NCT02035553,A Study of the Safety and Efficacy of Pimavanserin in Patients With Alzheimer's Disease Psychosis,Completed,Alzheimer's Disease Psychosis,All,"50 Years and older   (Adult, Older Adult)",Phase 2,181,Interventional,November 2013,"October 27, 2016",https://ClinicalTrials.gov/show/NCT02035553,50 Years and older ,50,40 to 65 years old
NCT00945672,A Multiple Dose Study of PF-04360365 In Patients With Mild to Moderate Alzheimer's Disease,Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 2,36,Interventional,August 2009,June 2011,https://ClinicalTrials.gov/show/NCT00945672,50 Years and older ,50,40 to 65 years old
NCT01406145,A Study of the Safety and Tolerability of ASP0777 in Subjects With Alzheimer's Disease (AD) Taking a Stable Dose of Donepezil,Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 1,60,Interventional,"June 16, 2011","November 4, 2011",https://ClinicalTrials.gov/show/NCT01406145,50 Years and older ,50,40 to 65 years old
NCT00912288,A Phase 3 Efficacy Study Of Dimebon In Patients With Moderate To Severe Alzheimer's Disease,Terminated,Alzheimer Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 3,86,Interventional,September 2009,August 2010,https://ClinicalTrials.gov/show/NCT00912288,50 Years and older ,50,40 to 65 years old
NCT04081285,Epigenetic Biomarkers for Alzheimer's Disease,Recruiting,Alzheimer Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 4,250,Observational,"September 1, 2019","December 31, 2023",https://ClinicalTrials.gov/show/NCT04081285,50 Years and older ,50,40 to 65 years old
NCT03809351,UAB Alzheimer's Disease Center Core Cohort - Tau Imaging Substudy,Not yet recruiting,Alzheimer Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 1,160,Interventional,"June 1, 2020","June 1, 2024",https://ClinicalTrials.gov/show/NCT03809351,50 Years and older ,50,40 to 65 years old
NCT03061474,Nicotinamide as an Early Alzheimer's Disease Treatment,Recruiting,Alzheimer's Disease|Mild Cognitive Impairment,All,"50 Years and older   (Adult, Older Adult)",Phase 2,48,Interventional,"July 12, 2017","June 30, 2020",https://ClinicalTrials.gov/show/NCT03061474,50 Years and older ,50,40 to 65 years old
NCT00477659,Neural Correlates In Mild Alzheimer's Disease,Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 4,14,Interventional,July 2007,August 2008,https://ClinicalTrials.gov/show/NCT00477659,50 Years and older ,50,40 to 65 years old
NCT00733642,Single Dose Escalation Study of PF-04360365 In Subjects With Mild To Moderate Alzheimer's Disease,Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 1,15,Interventional,August 2008,July 2009,https://ClinicalTrials.gov/show/NCT00733642,50 Years and older ,50,40 to 65 years old
NCT00886951,Single Photon Emission Computed Tomography (SPECT) Imaging Study to Develop a Biomarker for Alzheimer's Disease,Terminated,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 1,2,Interventional,March 2009,March 2009,https://ClinicalTrials.gov/show/NCT00886951,50 Years and older ,50,40 to 65 years old
NCT03044249,A Study of MP-101 in Dementia-Related Psychosis and/or Agitation and Aggression,Recruiting,Psychosis|Dementia|Aggression|Agitation|Alzheimer Dementia,All,"50 Years and older   (Adult, Older Adult)",Phase 2,100,Interventional,"May 4, 2017",August 2020,https://ClinicalTrials.gov/show/NCT03044249,50 Years and older ,50,40 to 65 years old
NCT00948766,"Effects of Rivastigmine Patch on Activities of Daily Living and Cognition in Patients With Severe Dementia of the Alzheimer's Type (ACTION) (Study Protocol CENA713DUS44, NCT00948766) and a 24 Week Open-label Extension to Study CENA713DUS44",Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 4,716,Interventional,July 2009,June 2012,https://ClinicalTrials.gov/show/NCT00948766,50 Years and older ,50,40 to 65 years old
NCT00939783,An Extension To The B1451027 Protocol To Evaluate The Long Term Safety And Tolerability Of Dimebon In Patients With Alzheimer's Disease,Terminated,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 3,649,Interventional,September 2009,August 2010,https://ClinicalTrials.gov/show/NCT00939783,50 Years and older ,50,40 to 65 years old
NCT01035164,Evaluation of ZK 6032924 in Probable Alzheimer's Disease Patients Versus Healthy Volunteers and the Radiation Dosimetry of ZK 6032924 in Healthy Volunteers,Completed,Positron-Emission Tomography|Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 1,25,Interventional,June 2007,January 2010,https://ClinicalTrials.gov/show/NCT01035164,50 Years and older ,50,40 to 65 years old
NCT00174382,Vaspect Study - An Open-Label Trial Of Donepezil in Vascular and Mixed Dementia,Terminated,"Dementia, Vascular|Dementia, Mixed",All,"50 Years and older   (Adult, Older Adult)",Phase 3,149,Interventional,June 2005,April 2008,https://ClinicalTrials.gov/show/NCT00174382,50 Years and older ,50,40 to 65 years old
NCT00013923,Effectiveness of A Nutritional Brain Metabolic Enhancer for Alzheimer Disease,Completed,Alzheimer Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 2,40,Interventional,,June 2005,https://ClinicalTrials.gov/show/NCT00013923,50 Years and older ,50,40 to 65 years old
NCT00017940,Gene Therapy for Alzheimer's Disease Clinical Trial,Completed,Alzheimer Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 1,8,Interventional,,November 2003,https://ClinicalTrials.gov/show/NCT00017940,50 Years and older ,50,40 to 65 years old
NCT00074529,Study of MK0677 for the Treatment of Alzheimer's Disease (0677-030)(COMPLETED),Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 2,512,Interventional,October 2003,January 2006,https://ClinicalTrials.gov/show/NCT00074529,50 Years and older ,50,40 to 65 years old
NCT00605059,Evaluation of [123I] AV94 and SPECT in Subjects With Alzheimer Disease in Comparison to Healthy Subjects,Terminated,Alzheimer Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 1,3,Interventional,August 2007,June 2008,https://ClinicalTrials.gov/show/NCT00605059,50 Years and older ,50,40 to 65 years old
NCT03168997,Memantine Treatment in Alzheimer's Disease Patients,Unknown status,Alzheimer Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 4,222,Interventional,"July 15, 2017","December 31, 2018",https://ClinicalTrials.gov/show/NCT03168997,50 Years and older ,50,40 to 65 years old
NCT00423228,Efficacy Study of a ZT-1 Implant in Patients Suffering From Alzheimer's Disease,Completed,Moderate Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Not Applicable,228,Interventional,February 2007,April 2009,https://ClinicalTrials.gov/show/NCT00423228,50 Years and older ,50,40 to 65 years old
NCT00334906,Study of Memantine in Assessment of Selected Measures of Volumetric Magnetic Resonance Imaging (MRI) and Cognition in Moderate AD (Alzheimer's Disease),Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 4,75,Interventional,July 2005,,https://ClinicalTrials.gov/show/NCT00334906,50 Years and older ,50,40 to 65 years old
NCT00240695,A Follow-up Study to Assess Safety and Tolerability of Galantamine Treatment in Individuals With Mild Cognitive Impairment,Completed,Cognition Disorder|Nervous System Diseases|Mental Disorders|Brain Diseases,All,"50 Years and older   (Adult, Older Adult)",Phase 3,724,Interventional,May 2003,May 2004,https://ClinicalTrials.gov/show/NCT00240695,50 Years and older ,50,40 to 65 years old
NCT00630851,A Study of the Efficacy and Safety of Aricept in Patients With Severe Alzheimer's Disease Who Are Living in Skilled Nursing Homes,Completed,Alzheimer Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 3,249,Interventional,October 2002,October 2004,https://ClinicalTrials.gov/show/NCT00630851,50 Years and older ,50,40 to 65 years old
NCT00439166,Effects of Doxycycline and Rifampicin on Biomarkers of Alzheimer's Disease in the Cerebrospinal Fluid,Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 3,100,Interventional,February 2007,December 2010,https://ClinicalTrials.gov/show/NCT00439166,50 Years and older ,50,40 to 65 years old
NCT00448799,Evaluation of [123I] AV83 and SPECT in Patients With Alzheimer Disease in Comparison to Healthy Controls,Completed,Alzheimers Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 1,30,Interventional,March 2007,March 2008,https://ClinicalTrials.gov/show/NCT00448799,50 Years and older ,50,40 to 65 years old
NCT03340571,Blood Biomarker of Alzheimer's Disease (AD),Recruiting,Alzheimer Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 4,60,Observational,"March 12, 2018",July 2019,https://ClinicalTrials.gov/show/NCT03340571,50 Years and older ,50,40 to 65 years old
NCT00456417,Evaluation of [123I] MNI-187 and SPECT in Patients With Alzheimers Disease in Comparison to Healthy Subjects,Completed,Alzheimers Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 1,30,Interventional,April 2007,December 2007,https://ClinicalTrials.gov/show/NCT00456417,50 Years and older ,50,40 to 65 years old
NCT00566397,A Phase 2 Study Evaluating The Efficacy And Safety Of PF 04494700 In Mild To Moderate Alzheimer's Disease,Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 2,402,Interventional,December 2007,December 2010,https://ClinicalTrials.gov/show/NCT00566397,50 Years and older ,50,40 to 65 years old
NCT03090854,Cholinergic Markers Alzheimer's Disease,Recruiting,Alzheimer Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 4,100,Observational,"November 6, 2017","May 5, 2020",https://ClinicalTrials.gov/show/NCT03090854,50 Years and older ,50,40 to 65 years old
NCT00164749,A Pilot Study of Curcumin and Ginkgo for Treating Alzheimer's Disease,Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,36,Interventional,October 2004,July 2006,https://ClinicalTrials.gov/show/NCT00164749,50 Years and older ,50,40 to 65 years old
NCT00440050,"DHA (Docosahexaenoic Acid), an Omega 3 Fatty Acid, in Slowing the Progression of Alzheimer's Disease",Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 3,402,Interventional,February 2007,May 2009,https://ClinicalTrials.gov/show/NCT00440050,50 Years and older ,50,40 to 65 years old
NCT00439010,Use of [123I] AV39 and SPECT Imaging as a Marker of Protein Disposition in Subjects With Alzheimer Disease Compared to Healthy Subjects,Completed,Alzheimers Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 1,30,Interventional,February 2007,January 2008,https://ClinicalTrials.gov/show/NCT00439010,50 Years and older ,50,40 to 65 years old
NCT00142805,Ketasyn in Mild to Moderate Alzheimer's Disease,Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 2,100,Interventional,October 2004,March 2006,https://ClinicalTrials.gov/show/NCT00142805,50 Years and older ,50,40 to 65 years old
NCT02899091,Evaluation of the Safety and Potential Therapeutic Effects After Intravenous Transplantation of CB-AC-02 in Patients With Alzheimer's Disease,Recruiting,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,24,Interventional,September 2016,December 2021,https://ClinicalTrials.gov/show/NCT02899091,50 Years and older ,50,40 to 65 years old
NCT00090116,The Safety and Efficacy of Neramexane in Patients With Moderate to Severe Alzheimer's Disease,Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 3,400,Interventional,March 2003,March 2005,https://ClinicalTrials.gov/show/NCT00090116,50 Years and older ,50,40 to 65 years old
NCT03484143,Neuro RX Gamma - Pivotal Phase,Recruiting,Alzheimer Disease,All,"50 Years and older   (Adult, Older Adult)",Not Applicable,228,Interventional,"June 26, 2019",May 2021,https://ClinicalTrials.gov/show/NCT03484143,50 Years and older ,50,40 to 65 years old
NCT00244322,Effects of LY450139 Dihydrate on Subjects With Mild to Moderate Alzheimer's Disease,Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 2,45,Interventional,October 2005,December 2006,https://ClinicalTrials.gov/show/NCT00244322,50 Years and older ,50,40 to 65 years old
NCT00329082,Effects of LY2062430 in Subjects With Mild-to-Moderate Alzheimer's Disease and in Healthy Volunteers,Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 2,25,Interventional,May 2006,May 2008,https://ClinicalTrials.gov/show/NCT00329082,50 Years and older ,50,40 to 65 years old
NCT00495417,Tolerability and Safety of Subcutaneous Administration of Affitope AD01 in Mild to Moderate Alzheimer's Disease,Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 1,24,Interventional,July 2007,August 2009,https://ClinicalTrials.gov/show/NCT00495417,50 Years and older ,50,40 to 65 years old
NCT00099710,Curcumin in Patients With Mild to Moderate Alzheimer's Disease,Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 2,33,Interventional,July 2003,December 2007,https://ClinicalTrials.gov/show/NCT00099710,50 Years and older ,50,40 to 65 years old
NCT03503331,UAB Alzheimer's Disease Center Core Cohort - Imaging Substudy,Recruiting,Alzheimer Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 2,160,Interventional,"April 20, 2018","April 1, 2024",https://ClinicalTrials.gov/show/NCT03503331,50 Years and older ,50,40 to 65 years old
NCT00073658,Treating Behavioral Disturbances in Individuals With Dementia,Completed,Dementia,All,"50 Years and older   (Adult, Older Adult)",Phase 2,137,Interventional,January 2000,June 2005,https://ClinicalTrials.gov/show/NCT00073658,50 Years and older ,50,40 to 65 years old
NCT00151398,Study Evaluating Lecozotan SR in Mild to Moderate Alzheimer's Disease (AD),Completed,Alzheimer Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 2,229,Interventional,September 2005,March 2008,https://ClinicalTrials.gov/show/NCT00151398,50 Years and older ,50,40 to 65 years old
NCT02708186,Study Evaluating Nelotanserin for Treatment of REM Sleep Behavior Disorder in Subjects With Dementia (DLB or PDD),Completed,Dementia With Lewy Bodies|REM Sleep Behavior Disorder|Parkinson's Disease Dementia,All,"50 Years and older   (Adult, Older Adult)",Phase 2,29,Interventional,March 2016,May 2018,https://ClinicalTrials.gov/show/NCT02708186,50 Years and older ,50,40 to 65 years old
NCT00314912,Open-Label Extension of the Phase III Study With Tramiprosate (3APS) in Patients With Mild to Moderate Alzheimer's Disease,Unknown status,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 3,650,Interventional,May 2006,,https://ClinicalTrials.gov/show/NCT00314912,50 Years and older ,50,40 to 65 years old
NCT00428389,Safety of Switching From Donepezil to Rivastigmine Patch in Patients With Probable Alzheimer's Disease,Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 3,262,Interventional,January 2007,February 2008,https://ClinicalTrials.gov/show/NCT00428389,50 Years and older ,50,40 to 65 years old
NCT00299988,Phase II Study of Intravenous Immunoglobulin (IVIg) for Alzheimer's Disease,Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 2,24,Interventional,February 2006,April 2010,https://ClinicalTrials.gov/show/NCT00299988,50 Years and older ,50,40 to 65 years old
NCT02871427,Open-label Study of Nelotanserin in Lewy Body Dementia With Visual Hallucinations or REM Sleep Behavior Disorder,Terminated,Lewy Body Dementia|Dementia With Lewy Bodies|Parkinson's Disease Dementia|Visual Hallucinations|REM Sleep Behavior Disorder,All,"50 Years and older   (Adult, Older Adult)",Phase 2,80,Interventional,"October 20, 2016","January 17, 2019",https://ClinicalTrials.gov/show/NCT02871427,50 Years and older ,50,40 to 65 years old
NCT02265757,Behavioral Interventions to Prevent or Delay Dementia,Completed,Mild Cognitive Impairment|Memory Disorders|Mild Dementia|Impaired Cognition|Mild Cognitive Disorder|Amnestic Disorder|Dementia and Amnestic Conditions|Poor Short-term Memory|Memory Impairment,All,"50 Years and older   (Adult, Older Adult)",Not Applicable,272,Interventional,June 2014,"March 31, 2018",https://ClinicalTrials.gov/show/NCT02265757,50 Years and older ,50,40 to 65 years old
NCT02085265,Telmisartan vs. Perindopril in Hypertensive Mild-Moderate Alzheimer's Disease Patients,Recruiting,Alzheimer's Disease|Hypertension,All,"50 Years and older   (Adult, Older Adult)",Phase 2,240,Interventional,March 2014,March 2021,https://ClinicalTrials.gov/show/NCT02085265,50 Years and older ,50,40 to 65 years old
NCT00862940,A Clinical Study Evaluating the Effects of Memantine on Brain Atrophy in Patients With Alzheimer's Disease,Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 4,277,Interventional,September 2005,April 2009,https://ClinicalTrials.gov/show/NCT00862940,50 Years and older ,50,40 to 65 years old
NCT00895895,Study Comparing 3 Dosage Levels Of SAM-531 In Outpatients With Mild To Moderate Alzheimer Disease,Terminated,Alzheimer Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 2,526,Interventional,May 2009,May 2011,https://ClinicalTrials.gov/show/NCT00895895,50 Years and older ,50,40 to 65 years old
NCT01538212,Retrospective Cohort Study Of The Efficacy Of Axona® (Medium Chain Triglycerides) In Patients With Alzheimer's Disease,Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 4,55,Observational,January 2012,October 2012,https://ClinicalTrials.gov/show/NCT01538212,50 Years and older ,50,40 to 65 years old
NCT02918539,Registry of Amyloid Positive Patients for Alzheimer's Disease Drug Research Trials,Completed,Alzheimer Disease|Cognition Disorders,All,"50 Years and older   (Adult, Older Adult)",Phase 4,317,Observational,October 2016,"October 18, 2017",https://ClinicalTrials.gov/show/NCT02918539,50 Years and older ,50,40 to 65 years old
NCT01926691,Predictors for Poststroke Outcomes: Tel Aviv Brain Acute Stroke Cohort Acute Stroke Cohort (TABASCO),Unknown status,Stroke|Dementia|Cerebrovascular Disorders|Alzheimer's Disease|Brain Ischemia,All,"50 Years and older   (Adult, Older Adult)",Phase 4,534,Observational,April 2008,,https://ClinicalTrials.gov/show/NCT01926691,50 Years and older ,50,40 to 65 years old
NCT00646269,Efficacy Assessment of Three Non Pharmacological Therapies in Alzheimer's Disease,Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 3,640,Interventional,March 2008,December 2012,https://ClinicalTrials.gov/show/NCT00646269,50 Years and older ,50,40 to 65 years old
NCT00968097,Evaluation of [123I] MNI-340 and SPECT as a Marker of Beta-Amyloid Protein Deposition,Terminated,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 1,12,Interventional,April 2008,July 2008,https://ClinicalTrials.gov/show/NCT00968097,50 Years and older ,50,40 to 65 years old
NCT00731224,Compliance and Tolerability of Rivastigmine Transdermal Patch 10 cm² in Patients With Probable Alzheimer's Disease.,Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 4,380,Interventional,July 2008,October 2011,https://ClinicalTrials.gov/show/NCT00731224,50 Years and older ,50,40 to 65 years old
NCT00234637,Rivastigmine Monotherapy and Combination Therapy With Memantine in Patients With Moderately Severe Alzheimer's Disease Who Failed to Benefit From Previous Cholinesterase Inhibitor Treatment,Completed,Alzheimer's Disease,All,"50 Years and older   (Adult, Older Adult)",Phase 4,204,Interventional,November 2003,June 2005,https://ClinicalTrials.gov/show/NCT00234637,50 Years and older ,50,40 to 65 years old
NCT03297268,Behavioral and Environmental Sensing and Intervention,Unknown status,Behavioral and Psychiatric Symptoms of Dementia|Dementia|Caregivers,All,"50 Years and older   (Adult, Older Adult)",Phase 4,24,Observational,May 2016,August 2019,https://ClinicalTrials.gov/show/NCT03297268,50 Years and older ,50,40 to 65 years old
NCT03160027,Photobiomodulation for Improving Brain Function in Dementia (PBM Dementia),Completed,"Dementia, Alzheimer Type",All,"50 Years and older   (Adult, Older Adult)",Not Applicable,20,Interventional,"May 15, 2017","March 29, 2019",https://ClinicalTrials.gov/show/NCT03160027,50 Years and older ,50,40 to 65 years old
NCT03489044,An Investigation of Levetiracetam in Alzheimer's Disease,Enrolling by invitation,Alzheimer Disease|Epilepsy,All,"50 Years and older   (Adult, Older Adult)",Phase 2,30,Interventional,November 2018,January 2020,https://ClinicalTrials.gov/show/NCT03489044,50 Years and older ,50,40 to 65 years old
NCT03069391,The Interactive Physical and Cognitive Exercise System,"Active, not recruiting","Alzheimer Disease, Early Onset|MCI|Aging|Mild Cognitive Impairment|Neurocognitive Disorder|Cognitive Impairment|Cognitive Change",All,"50 Years and older   (Adult, Older Adult)",Not Applicable,31,Interventional,"March 4, 2017","June 30, 2020",https://ClinicalTrials.gov/show/NCT03069391,50 Years and older ,50,40 to 65 years old
NCT04055376,Daily Light and Sound Stimulation to Improve Brain Functions in Alzheimer's Disease,Recruiting,Alzheimer Disease|Alzheimer Dementia,All,"50 Years to 100 Years   (Adult, Older Adult)",Not Applicable,12,Interventional,"August 14, 2019","April 30, 2021",https://ClinicalTrials.gov/show/NCT04055376,50 Years to 100 Years ,50,40 to 65 years old
NCT03939780,Tau Tracer Comparison in Healthy Controls and Alzheimer's Disease Patients,Not yet recruiting,Healthy|Alzheimer Disease,All,"50 Years to 100 Years   (Adult, Older Adult)",Not Applicable,24,Interventional,October 2019,January 2023,https://ClinicalTrials.gov/show/NCT03939780,50 Years to 100 Years ,50,40 to 65 years old
NCT03752463,NMDA Enhancer for the Treatment of Mild Alzheimer's Disease,Recruiting,Alzheimer Disease,All,"50 Years to 100 Years   (Adult, Older Adult)",Phase 2,160,Interventional,"May 22, 2015","December 31, 2019",https://ClinicalTrials.gov/show/NCT03752463,50 Years to 100 Years ,50,40 to 65 years old
NCT03373604,Imaging Tau in Alzheimer's Disease and Normal Aging,Enrolling by invitation,Alzheimer Disease,All,"50 Years to 100 Years   (Adult, Older Adult)",Phase 2,175,Interventional,"December 11, 2017","August 20, 2021",https://ClinicalTrials.gov/show/NCT03373604,50 Years to 100 Years ,50,40 to 65 years old
NCT01796314,Impact of Therapeutic Educational Programme on the Alzheimer's Disease Affected Patient's Quality of Life,Completed,Alzheimer Disease,All,"50 Years to 100 Years   (Adult, Older Adult)",Not Applicable,170,Interventional,January 2013,February 2017,https://ClinicalTrials.gov/show/NCT01796314,50 Years to 100 Years ,50,40 to 65 years old
NCT02103673,DAOIB for the Treatment of Cognitive Function and Behavioral and Psychological Symptoms of Dementia,Completed,Behavioral and Psychological Symptoms in Alzheimer's Disease|Behavioral and Psychological Symptoms in Vascular Dementia,All,"50 Years to 100 Years   (Adult, Older Adult)",Phase 2,90,Interventional,February 2014,November 2017,https://ClinicalTrials.gov/show/NCT02103673,50 Years to 100 Years ,50,40 to 65 years old
NCT04042922,High Frequency Light and Sound Stimulation to Improve Brain Functions in Alzheimer's Disease,Recruiting,Alzheimer Disease,All,"50 Years to 100 Years   (Adult, Older Adult)",Not Applicable,40,Interventional,"April 19, 2019","April 30, 2021",https://ClinicalTrials.gov/show/NCT04042922,50 Years to 100 Years ,50,40 to 65 years old
NCT02825732,MEMORA-Caregiver : Risk Factors of Caregiver Burden Among Patients With Neurocognitive Disorders or Subjective Cognitive Complaint,Completed,Neurocognitive Disorders,All,"50 Years to 100 Years   (Adult, Older Adult)",Phase 4,1300,Observational,November 2011,January 2016,https://ClinicalTrials.gov/show/NCT02825732,50 Years to 100 Years ,50,40 to 65 years old
NCT02957227,Diagnosis of Alzheimer's Disease Using Event Related Potentials,Recruiting,Mild Cognitive Impairment,All,"50 Years to 100 Years   (Adult, Older Adult)",Phase 4,170,Observational,July 2016,January 2019,https://ClinicalTrials.gov/show/NCT02957227,50 Years to 100 Years ,50,40 to 65 years old
NCT03038035,The Alzheimer's Disease THErapy With NEuroaid (ATHENE) Study,Unknown status,Alzheimer Disease,All,"50 Years to 120 Years   (Adult, Older Adult)",Phase 2,150,Interventional,December 2016,June 2019,https://ClinicalTrials.gov/show/NCT03038035,50 Years to 120 Years ,50,40 to 65 years old
NCT00706186,Safety and Feasibility of Sodium Oxybate in Mild Alzheimer's Disease Patients,Terminated,Mild Alzheimer's Disease,All,"50 Years to 65 Years   (Adult, Older Adult)",Phase 4,4,Interventional,,,https://ClinicalTrials.gov/show/NCT00706186,50 Years to 65 Years ,50,40 to 65 years old
NCT00586430,The Impact of Lorazepam on Cognition in APOE e4 Carriers,Completed,Alzheimer's Disease,All,"50 Years to 65 Years   (Adult, Older Adult)",Not Applicable,36,Interventional,December 2005,July 2007,https://ClinicalTrials.gov/show/NCT00586430,50 Years to 65 Years ,50,40 to 65 years old
NCT00888056,Chronic Electrical Stimulation of Hypothalamus/Fornix in Alzheimer's Disease,Unknown status,Alzheimer's Disease,All,"50 Years to 65 Years   (Adult, Older Adult)",Phase 1|Phase 2,5,Interventional,June 2009,,https://ClinicalTrials.gov/show/NCT00888056,50 Years to 65 Years ,50,40 to 65 years old
NCT00947934,Study of the Brain Stimulation Effect on Memory Impairment in Alzheimer Disease,Unknown status,Memory Disorders,All,"50 Years to 70 Years   (Adult, Older Adult)",Not Applicable,5,Interventional,August 2009,August 2012,https://ClinicalTrials.gov/show/NCT00947934,50 Years to 70 Years ,50,40 to 65 years old
NCT02530255,Telomerase Activator and Retinal Amyloid,Completed,Alzheimer Disease,All,"50 Years to 70 Years   (Adult, Older Adult)",Not Applicable,48,Interventional,"December 1, 2016","December 31, 2018",https://ClinicalTrials.gov/show/NCT02530255,50 Years to 70 Years ,50,40 to 65 years old
NCT04074837,"Phase1a, Dose-escalation Study of NNI-362 in Healthy Aged Volunteers",Recruiting,Alzheimer Disease,All,"50 Years to 72 Years   (Adult, Older Adult)",Phase 1,56,Interventional,"August 1, 2019","April 1, 2020",https://ClinicalTrials.gov/show/NCT04074837,50 Years to 72 Years ,50,40 to 65 years old
NCT03186989,"Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of IONIS-MAPTRx in Patients With Mild Alzheimer's Disease",Recruiting,Mild Alzheimer's Disease,All,"50 Years to 74 Years   (Adult, Older Adult)",Phase 1|Phase 2,44,Interventional,"June 5, 2017","February 29, 2020",https://ClinicalTrials.gov/show/NCT03186989,50 Years to 74 Years ,50,40 to 65 years old
NCT02719327,Brain Amyloid and Vascular Effects of Eicosapentaenoic Acid,Recruiting,Alzheimer's Disease,All,"50 Years to 75 Years   (Adult, Older Adult)",Phase 2|Phase 3,150,Interventional,"June 8, 2017","November 30, 2021",https://ClinicalTrials.gov/show/NCT02719327,50 Years to 75 Years ,50,40 to 65 years old
NCT01297218,The Safety and The Efficacy Evaluation of NEUROSTEM®-AD in Patients With Alzheimer's Disease,Completed,Dementia of the Alzheimer's Type,All,"50 Years to 75 Years   (Adult, Older Adult)",Phase 1,9,Interventional,February 2011,December 2011,https://ClinicalTrials.gov/show/NCT01297218,50 Years to 75 Years ,50,40 to 65 years old
NCT03923569,Epileptiform Activity During REM Sleep in Alzheimer's Disease,Not yet recruiting,"Alzheimer Disease, Early Onset",All,"50 Years to 75 Years   (Adult, Older Adult)",Not Applicable,80,Interventional,April 2019,April 2022,https://ClinicalTrials.gov/show/NCT03923569,50 Years to 75 Years ,50,40 to 65 years old
